Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Adrian Peterson (ARI, RB)",222,36,0,259,0.8108108108108109,1485,327,11,0,0,0,7,0,4775,35,564,1917,16,452
"Doug Martin (TB, RB)",271,44,1,231,0.7333333333333333,1402,288,6,0,0,0,5,0,4044,22,535,2159,12,454
"Todd Gurley (LA, RB)",188,26,0,212,0.7777777777777778,1108,229,10,0,0,0,3,0,0,0,0,0,0,0
"Darren McFadden (DAL, RB)",328,53,0,300,0.7407407407407407,1089,239,3,0,0,1,3,0,3677,16,529,1888,8,408
"Chris Ivory (JAC, RB)",217,37,1,271,0.7894736842105263,1070,247,7,0,0,0,4,0,4428,35,607,1460,5,354
"Latavius Murray (MIN, RB)",232,53,0,242,0.7592592592592593,1066,267,6,0,0,0,5,0,3246,14,454,2211,18,474
"Devonta Freeman (ATL, RB)",578,97,3,432,0.7448979591836735,1061,264,11,0,0,0,3,0,4602,21,621,1611,13,420
"Jonathan Stewart (CAR, RB)",99,21,1,112,0.7272727272727273,989,242,6,0,0,0,3,0,3873,35,502,2282,19,526
"Frank Gore (IND, RB)",267,58,1,273,0.576271186440678,967,260,6,0,0,0,4,0,3928,26,619,1438,6,396
"Matt Forte (NYJ, RB)",389,58,3,343,0.7457627118644068,898,218,4,0,0,0,1,0,4170,33,604,1868,11,448
"LeSean McCoy (BUF, RB)",292,49,2,286,0.64,895,203,3,0,0,0,2,0,3600,23,465,2432,19,509
"Lamar Miller (HOU, RB)",397,57,2,416,0.8103448275862069,872,194,8,0,0,0,1,0,4079,29,619,1731,7,472
"Thomas Rawls (SEA, RB)",76,11,1,76,0.75,830,147,4,0,0,0,1,0,4052,34,488,2269,10,501
"Jeremy Hill (CIN, RB)",79,19,1,87,0.75,794,223,11,0,0,0,3,0,4104,31,505,1804,18,468
"Mark Ingram (NO, RB)",397,59,0,437,0.8166666666666667,768,164,6,0,0,0,2,0,5213,32,667,1489,16,396
"Alfred Morris (DAL, RB)",55,13,0,42,0.7142857142857143,763,202,1,0,0,0,0,0,3677,16,529,1888,8,408
"Eddie Lacy (SEA, RB)",188,28,2,213,0.6896551724137931,758,187,3,0,0,0,4,0,4052,34,488,2269,10,501
"T.J. Yeldon (JAC, RB)",279,46,1,298,0.7659574468085106,740,182,2,0,0,0,0,0,4428,35,607,1460,5,354
"Giovani Bernard (CIN, RB)",472,66,0,456,0.7313432835820896,730,154,2,0,0,0,1,0,4104,31,505,1804,18,468
"C.J. Anderson (DEN, RB)",183,36,0,149,0.6756756756756757,720,152,5,0,0,0,2,0,4216,19,606,1718,13,411
"Isaiah Crowell (CLE, RB)",182,22,1,228,0.8260869565217391,706,185,4,0,0,0,0,0,4156,20,609,1529,5,381
"LeGarrette Blount (PHI, RB)",43,7,1,31,0.75,703,165,6,0,0,0,1,0,4341,23,623,1740,15,444
"DeMarco Murray (TEN, RB)",322,55,1,347,0.7857142857142857,699,194,6,0,0,0,3,0,3897,25,553,1485,10,371
"Alfred Blue (HOU, RB)",109,16,1,68,0.8823529411764706,698,183,2,0,0,0,2,0,4079,29,619,1731,7,472
"Melvin Gordon (SD, RB)",192,37,0,256,0.868421052631579,641,184,0,0,0,0,6,0,4856,30,668,1357,4,392
"Charcandrick West (KC, RB)",214,34,1,232,0.5714285714285714,634,160,4,0,0,0,1,0,3493,20,473,2041,19,437
"Ameer Abdullah (DET, RB)",183,38,1,203,0.6410256410256411,598,143,2,0,0,0,5,0,4463,33,632,1336,7,354
"David Johnson (ARI, RB)",457,57,4,335,0.6206896551724138,581,125,8,0,0,0,4,0,4775,35,564,1917,16,452
"Le'Veon Bell (PIT, RB)",136,26,0,139,0.8888888888888888,556,113,3,0,0,0,0,0,4817,26,590,1724,16,388
"Charles Sims (TB, RB)",561,70,4,458,0.7183098591549296,529,107,0,0,0,0,2,0,4044,22,535,2159,12,454
"Javorius Allen (BAL, RB)",353,62,2,287,0.7142857142857143,516,138,1,0,0,0,2,0,4462,21,677,1478,8,383
"Matt Jones (IND, RB)",304,25,1,266,0.7307692307692307,490,144,3,0,0,0,5,0,3928,26,619,1438,6,396
"Carlos Hyde (SF, RB)",53,15,0,61,0.6875,470,116,3,0,0,0,2,0,3646,16,526,1544,7,391
"Marshawn Lynch (OAK, RB)",80,21,0,87,0.5909090909090909,417,111,3,0,0,0,0,0,4129,34,605,1455,7,370
"Spencer Ware (KC, RB)",5,6,0,12,0.8571428571428571,403,72,6,0,0,0,0,0,3493,20,473,2041,19,437
"Tevin Coleman (ATL, RB)",14,11,0,11,0.16666666666666666,392,87,1,0,0,0,3,0,4602,21,621,1611,13,420
"Duke Johnson (CLE, RB)",534,74,2,481,0.8133333333333334,379,104,0,0,0,0,1,0,4156,20,609,1529,5,381
"Jamaal Charles (DEN, RB)",177,30,1,207,0.6774193548387096,364,71,4,0,0,0,2,0,4216,19,606,1718,13,411
"Danny Woodhead (BAL, RB)",756,107,6,717,0.75,335,97,3,0,0,0,0,0,4462,21,677,1478,8,383
"Darren Sproles (PHI, RB)",388,83,1,359,0.6547619047619048,317,83,3,0,0,0,1,0,4341,23,623,1740,15,444
"Bilal Powell (NYJ, RB)",388,63,2,420,0.734375,313,70,1,0,0,0,2,0,4170,33,604,1868,11,448
"Andre Ellington (ARI, RB)",148,24,0,72,0.6,289,45,3,0,0,0,1,0,4775,35,564,1917,16,452
"Jerick McKinnon (MIN, RB)",173,29,1,186,0.7,271,52,2,0,0,0,0,0,3246,14,454,2211,18,474
"Mike Gillislee (NE, RB)",29,7,0,31,0.75,267,47,3,0,0,0,1,0,4812,36,629,1404,14,383
"Shane Vereen (NYG, RB)",495,81,4,418,0.7195121951219512,260,61,0,0,0,0,0,0,4515,36,622,1609,5,404
"Andre Williams (SD, RB)",7,3,0,3,0.25,257,88,1,0,0,0,0,0,4856,30,668,1357,4,392
"Christine Michael (IND, RB)",16,6,0,18,0.42857142857142855,243,54,0,0,0,0,0,0,3928,26,619,1438,6,396
"Dion Lewis (NE, RB)",388,50,2,343,0.7058823529411765,234,49,2,0,0,0,2,0,4812,36,629,1404,14,383
"Terrance West (BAL, RB)",21,5,0,12,0.6666666666666666,229,61,0,0,0,0,2,0,4462,21,677,1478,8,383
"Chris Thompson (WAS, RB)",240,48,2,168,0.7142857142857143,216,35,0,0,0,0,2,0,4294,30,555,1582,9,429
"Brandon Bolden (NE, RB)",180,30,2,123,0.6129032258064516,207,63,0,0,0,0,0,0,4812,36,629,1404,14,383
"Robert Turbin (IND, RB)",23,10,0,26,0.6363636363636364,199,50,1,0,0,0,0,0,3928,26,619,1438,6,396
"Bishop Sankey (MIN, RB)",139,23,1,133,0.5833333333333334,193,47,1,0,0,0,2,0,3246,14,454,2211,18,474
"Jay Ajayi (PHI, RB)",90,11,0,56,0.5833333333333334,187,49,1,0,0,0,0,0,4341,23,623,1740,15,444
"Cameron Artis-Payne (CAR, RB)",58,5,0,61,0.8333333333333334,183,45,1,0,0,0,0,0,3873,35,502,2282,19,526
"Orleans Darkwa (NYG, RB)",31,5,0,26,0.5,153,37,1,0,0,0,0,0,4515,36,622,1609,5,404
"Kerwynn Williams (ARI, RB)",16,2,0,7,0.6666666666666666,142,27,1,0,0,0,1,0,4775,35,564,1917,16,452
"Benny Cunningham (CHI, RB)",250,36,0,233,0.7027027027027027,140,37,0,0,0,0,1,0,3843,21,523,1851,13,469
"Theo Riddick (DET, RB)",697,99,3,658,0.8,133,43,0,0,0,0,1,0,4463,33,632,1336,7,354
"Kenjon Barner (PHI, RB)",22,12,0,43,0.6923076923076923,124,28,0,0,0,0,1,0,4341,23,623,1740,15,444
