Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Adrian Peterson (ARI, RB)",436,57,0,422,0.7413793103448276,1389,315,18,0,0,0,7,0,4205,28,596,1489,15,364
"Jonathan Stewart (CAR, RB)",139,26,1,105,0.6666666666666666,1133,221,10,0,0,0,3,0,3070,16,465,2498,18,525
"Frank Gore (IND, RB)",406,75,3,410,0.6842105263157895,1120,229,10,0,0,0,3,0,4605,34,601,1294,16,366
"Jamaal Charles (DEN, RB)",297,56,1,205,0.7017543859649122,1120,190,7,0,0,0,4,0,3825,21,558,1836,9,440
"Matt Forte (NYJ, RB)",471,72,0,476,0.7808219178082192,929,258,4,0,0,0,6,0,2596,12,392,2756,21,608
"LeSean McCoy (BUF, RB)",308,55,0,389,0.7142857142857143,637,155,4,0,0,0,2,0,2789,17,442,1867,6,425
"Marshawn Lynch (OAK, RB)",179,37,0,199,0.7368421052631579,450,120,2,0,0,0,3,0,2875,10,485,1701,7,410
"Darren McFadden (DAL, RB)",245,36,0,186,0.5675675675675675,356,104,1,0,0,0,5,0,4483,26,550,2103,14,436
"Darren Sproles (PHI, RB)",497,57,4,517,0.7758620689655172,343,93,3,0,0,0,3,0,4380,27,553,1644,14,382
"Danny Woodhead (BAL, RB)",87,14,0,46,0.5333333333333333,64,15,0,0,0,0,0,0,3637,21,510,2206,22,467
