Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Adrian Peterson (ARI, RB)",217,51,1,186,0.7692307692307693,2097,348,12,0,0,0,4,0,3383,11,608,1207,10,353
"Alfred Morris (DAL, RB)",77,16,0,64,0.6470588235294118,1606,335,13,0,0,0,4,0,4992,29,658,1265,8,355
"Marshawn Lynch (OAK, RB)",196,30,1,190,0.7419354838709677,1590,315,11,0,0,0,5,0,4292,24,628,1420,4,376
"Jamaal Charles (DEN, RB)",236,50,1,263,0.7254901960784313,1513,284,5,0,0,0,5,0,4679,37,588,1812,12,480
"Doug Martin (TB, RB)",472,70,1,424,0.6901408450704225,1454,319,11,0,0,0,1,0,4144,27,566,1833,13,417
"Frank Gore (IND, RB)",234,36,1,221,0.7567567567567568,1212,259,8,0,0,0,3,0,4374,23,628,1671,11,440
"Matt Forte (NYJ, RB)",340,60,1,294,0.7213114754098361,1094,248,5,0,0,0,2,0,3139,14,492,1891,12,494
"LeSean McCoy (BUF, RB)",373,67,3,470,0.7941176470588235,840,200,2,0,0,0,4,0,3430,24,511,2221,12,443
"Darren McFadden (DAL, RB)",258,63,1,246,0.65625,707,216,2,0,0,0,2,0,4992,29,658,1265,8,355
"DeMarco Murray (TEN, RB)",247,41,0,237,0.8095238095238095,663,161,4,0,0,0,3,0,3571,17,540,1687,10,378
"Mark Ingram (NO, RB)",29,10,0,32,0.5454545454545454,602,156,5,0,0,0,0,0,5187,43,671,1579,10,370
"Bilal Powell (NYJ, RB)",140,36,0,118,0.4594594594594595,437,110,4,0,0,0,0,0,3139,14,492,1891,12,494
"Jacquizz Rodgers (TB, RB)",402,59,1,429,0.8833333333333333,362,94,1,0,0,0,0,0,4144,27,566,1833,13,417
"Robert Turbin (IND, RB)",181,23,0,127,0.7916666666666666,354,80,0,0,0,0,0,0,4374,23,628,1671,11,440
"Jonathan Stewart (CAR, RB)",157,23,1,173,0.7083333333333334,336,93,1,0,0,0,2,0,3927,19,490,2088,21,462
"Danny Woodhead (BAL, RB)",446,55,3,369,0.7142857142857143,291,75,4,0,0,0,1,0,3996,22,560,1901,17,444
"Brandon Bolden (NE, RB)",11,2,0,10,0.6666666666666666,274,56,2,0,0,0,0,0,4816,34,641,2173,25,522
"Cedric Peerman (CIN, RB)",85,9,0,76,0.9,258,36,1,0,0,0,0,0,3807,28,541,1745,11,430
"Shane Vereen (NYG, RB)",149,13,1,140,0.5714285714285714,251,62,3,0,0,0,1,0,3967,26,539,1862,18,409
"Lamar Miller (HOU, RB)",45,8,0,40,0.6666666666666666,250,51,1,0,0,0,0,0,4046,22,554,2192,20,509
"Darren Sproles (PHI, RB)",667,104,7,660,0.7142857142857143,244,48,1,0,0,0,0,0,4077,18,618,1887,10,413
"Chris Ivory (JAC, RB)",15,3,0,28,0.5,217,40,2,0,0,0,0,0,3754,20,584,1369,5,358
"LeGarrette Blount (PHI, RB)",2,2,0,7,0.3333333333333333,151,41,2,0,0,0,0,0,4077,18,618,1887,10,413
"Lance Dunbar (LA, RB)",33,12,0,24,0.46153846153846156,75,21,0,0,0,0,1,0,0,0,0,0,0,0
"Dion Lewis (NE, RB)",24,2,0,29,0.6666666666666666,69,13,1,0,0,0,0,0,4816,34,641,2173,25,522
"Taiwan Jones (BUF, RB)",11,2,0,6,0.6666666666666666,21,6,0,0,0,0,1,0,3430,24,511,2221,12,443
"Jordan Todman (HOU, RB)",0,1,0,3,0.5,8,3,0,0,0,0,0,0,4046,22,554,2192,20,509
