Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"DeMarco Murray (TEN, RB)",416,64,0,476,0.8769230769230769,1845,393,13,0,0,0,5,0,3698,19,512,1447,6,356
"Le'Veon Bell (PIT, RB)",798,101,3,765,0.7745098039215687,1355,285,8,0,0,0,0,0,4704,31,578,1737,10,407
"Marshawn Lynch (OAK, RB)",367,48,4,390,0.7551020408163265,1310,281,13,0,0,0,3,0,3457,22,629,1244,4,337
"LeSean McCoy (BUF, RB)",155,39,0,172,0.75,1266,313,5,0,0,0,4,0,3856,23,580,1482,7,402
"Eddie Lacy (SEA, RB)",427,55,4,432,0.75,1139,246,9,0,0,0,3,0,3492,20,454,2762,20,525
"Frank Gore (IND, RB)",111,19,1,94,0.55,1103,255,4,0,0,0,2,0,5062,42,661,1602,9,416
"Lamar Miller (HOU, RB)",278,52,1,235,0.7169811320754716,1099,216,8,0,0,0,2,0,3465,22,486,2165,12,550
"Jeremy Hill (CIN, RB)",209,30,0,217,0.8387096774193549,1077,206,9,0,0,0,5,0,3331,18,473,2089,19,472
"Alfred Morris (DAL, RB)",155,26,0,144,0.6296296296296297,1074,265,8,0,0,0,2,0,4008,37,476,2349,16,508
"Jamaal Charles (DEN, RB)",291,59,5,315,0.6666666666666666,1039,205,9,0,0,0,4,0,4779,40,607,1785,15,444
"Matt Forte (NYJ, RB)",808,130,4,750,0.7786259541984732,1038,266,6,0,0,0,2,0,3206,16,498,2279,11,507
"Mark Ingram (NO, RB)",145,36,0,136,0.7837837837837838,964,226,9,0,0,0,3,0,4952,33,660,1818,16,406
"C.J. Anderson (DEN, RB)",324,44,2,291,0.7555555555555555,849,179,8,0,0,0,1,0,4779,40,607,1785,15,444
"Chris Ivory (JAC, RB)",123,27,1,122,0.6428571428571429,820,198,6,0,0,0,2,0,3450,15,557,1635,9,361
"Jonathan Stewart (CAR, RB)",181,31,1,209,0.78125,812,176,3,0,0,0,2,0,3828,23,545,2033,10,475
"Andre Williams (SD, RB)",130,37,0,147,0.47368421052631576,720,216,7,0,0,0,1,0,4296,31,574,1370,6,399
"Terrance West (BAL, RB)",64,13,1,56,0.7857142857142857,673,171,4,0,0,0,2,0,3986,27,555,2016,16,448
"Giovani Bernard (CIN, RB)",293,51,1,315,0.6923076923076923,672,166,5,0,0,0,0,0,3331,18,473,2089,19,472
"Andre Ellington (ARI, RB)",395,64,2,352,0.7076923076923077,660,201,3,0,0,0,2,0,3990,21,568,1318,6,398
"Isaiah Crowell (CLE, RB)",87,14,0,63,0.6,607,148,8,0,0,0,3,0,3691,12,505,1708,17,476
"Branden Oliver (SD, RB)",271,45,1,329,0.782608695652174,582,160,3,0,0,0,0,0,4296,31,574,1370,6,399
"Bishop Sankey (MIN, RB)",133,24,0,148,0.72,572,153,2,0,0,0,2,0,3583,17,518,1805,12,411
"LeGarrette Blount (PHI, RB)",54,12,0,58,0.7692307692307693,547,125,5,0,0,0,1,0,4581,27,623,1939,16,476
"Jerick McKinnon (MIN, RB)",135,41,0,173,0.6428571428571429,538,113,0,0,0,0,0,0,3583,17,518,1805,12,411
"Darren McFadden (DAL, RB)",212,56,0,257,0.631578947368421,534,155,2,0,0,1,1,0,4008,37,476,2349,16,508
"Alfred Blue (HOU, RB)",113,18,1,75,0.7894736842105263,528,169,2,0,0,0,0,0,3465,22,486,2165,12,550
"Doug Martin (TB, RB)",64,20,0,63,0.6190476190476191,494,135,2,0,0,0,0,0,3644,21,532,1375,7,354
"Latavius Murray (MIN, RB)",143,23,0,153,0.7083333333333334,424,82,2,0,0,0,1,0,3583,17,518,1805,12,411
"Bobby Rainey (BAL, RB)",315,45,1,282,0.717391304347826,406,94,1,0,0,1,3,0,3986,27,555,2016,16,448
"Shane Vereen (NYG, RB)",447,78,3,384,0.6708860759493671,395,97,2,0,0,0,0,0,4470,30,607,1602,13,448
"Carlos Hyde (SF, RB)",68,16,0,60,0.7058823529411765,333,83,4,0,0,0,1,0,3407,20,488,2175,10,472
"Darren Sproles (PHI, RB)",387,62,0,404,0.6349206349206349,329,57,6,0,0,0,4,0,4581,27,623,1939,16,476
"Robert Turbin (IND, RB)",186,20,2,163,0.7619047619047619,306,73,0,0,0,0,1,0,5062,42,661,1602,9,416
"Devonta Freeman (ATL, RB)",225,38,1,161,0.7692307692307693,248,65,1,0,0,0,1,0,4758,28,632,1498,11,372
"Kerwynn Williams (ARI, RB)",11,6,0,13,0.2857142857142857,246,53,0,0,0,0,1,0,3990,21,568,1318,6,398
"Benny Cunningham (CHI, RB)",352,53,1,309,0.8333333333333334,244,66,3,0,0,0,3,0,4035,30,610,1448,8,354
"Jacquizz Rodgers (TB, RB)",173,40,1,185,0.7073170731707317,217,58,1,0,0,0,1,0,3644,21,532,1375,7,354
"Jordan Todman (HOU, RB)",198,37,1,198,0.6578947368421053,186,32,1,0,0,0,0,0,3465,22,486,2165,12,550
"Charles Sims (TB, RB)",190,27,0,197,0.6785714285714286,185,66,1,0,0,0,2,0,3644,21,532,1375,7,354
"Christine Michael (IND, RB)",12,2,0,18,0.3333333333333333,175,34,0,0,0,0,1,0,5062,42,661,1602,9,416
"Fozzy Whittaker (CAR, RB)",60,6,1,78,0.7142857142857143,145,32,1,0,0,0,0,0,3828,23,545,2033,10,475
"Bilal Powell (NYJ, RB)",92,15,0,96,0.6875,141,33,1,0,0,0,0,0,3206,16,498,2279,11,507
"Damien Williams (MIA, RB)",187,27,1,143,0.75,122,36,0,0,0,0,0,0,4077,27,595,1878,12,398
"Lance Dunbar (LA, RB)",217,22,0,196,0.782608695652174,99,29,0,0,0,0,0,0,0,0,0,0,0,0
"Brandon Bolden (NE, RB)",8,6,0,11,0.2857142857142857,98,29,1,0,0,0,0,0,4291,34,610,1734,13,441
"Adrian Peterson (ARI, RB)",18,3,0,20,0.5,75,21,0,0,0,0,0,0,3990,21,568,1318,6,398
"George Winn (IND, RB)",0,3,0,0,0.0,73,19,0,0,0,0,0,0,5062,42,661,1602,9,416
"Theo Riddick (DET, RB)",316,50,4,307,0.6666666666666666,51,20,0,0,0,0,0,0,4274,22,604,1422,11,396
"Cedric Peerman (CIN, RB)",27,5,0,24,0.5,43,15,0,0,0,0,1,0,3331,18,473,2089,19,472
"Danny Woodhead (BAL, RB)",34,6,0,33,0.7142857142857143,39,15,0,0,0,0,0,0,3986,27,555,2016,16,448
"James White (NE, RB)",23,5,0,21,0.8333333333333334,38,9,0,0,0,0,0,0,4291,34,610,1734,13,441
"Mike James (DET, RB)",-5,1,0,0,0.5,37,19,0,0,0,0,0,0,4274,22,604,1422,11,396
"Rex Burkhead (NE, RB)",49,10,0,39,0.6363636363636364,27,9,1,0,0,0,0,0,4291,34,610,1734,13,441
"Orleans Darkwa (NYG, RB)",48,6,0,41,0.7142857142857143,23,9,1,0,0,0,0,0,4470,30,607,1602,13,448
"Chris Thompson (WAS, RB)",27,7,1,36,0.75,12,3,0,0,0,0,0,0,4461,18,547,1688,15,401
"Senorise Perry (MIA, RB)",-1,1,0,1,0.5,0,0,0,0,0,0,0,0,4077,27,595,1878,12,398
"Charcandrick West (KC, RB)",0,2,0,0,0.0,0,0,0,0,0,0,0,0,3447,19,493,1904,17,420
