Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Jamaal Charles (DEN, RB)",468,64,3,411,0.6923076923076923,1467,230,5,0,0,0,3,0,4306,25,580,1561,13,399
"Adrian Peterson (ARI, RB)",341,50,1,330,0.7058823529411765,1298,283,12,0,0,0,1,0,3254,10,559,1388,9,321
"Darren McFadden (DAL, RB)",507,61,3,521,0.7580645161290323,1157,223,7,0,0,1,4,0,4208,29,575,1789,10,427
"LeSean McCoy (BUF, RB)",592,90,2,690,0.8571428571428571,1080,207,7,0,0,0,2,0,3363,24,519,1722,6,402
"Matt Forte (NYJ, RB)",547,70,3,437,0.7183098591549296,1069,237,6,0,0,0,3,0,3420,20,526,2374,14,534
"LeGarrette Blount (PHI, RB)",14,6,0,10,0.7142857142857143,1007,201,6,0,0,0,4,0,4215,28,561,2328,18,427
"Frank Gore (IND, RB)",452,72,2,438,0.6301369863013698,853,203,3,0,0,0,5,0,4700,33,680,1483,13,393
"Jonathan Stewart (CAR, RB)",103,14,1,67,0.5333333333333333,770,178,2,0,0,0,4,0,2635,9,484,1846,7,428
"Marshawn Lynch (OAK, RB)",145,28,0,142,0.7586206896551724,737,202,6,0,0,0,4,0,3446,18,489,2493,19,503
"Chris Ivory (JAC, RB)",17,1,0,13,0.5,716,137,5,0,0,0,4,0,3356,26,469,2392,14,512
"Danny Woodhead (BAL, RB)",379,44,1,319,0.7555555555555555,547,97,5,0,0,0,1,0,3629,25,491,1831,11,487
"Darren Sproles (PHI, RB)",520,75,2,483,0.7763157894736842,270,51,0,0,0,0,3,0,4215,28,561,2328,18,427
"Cedric Peerman (CIN, RB)",11,3,0,4,0.25,1,2,0,0,0,0,0,0,3988,26,589,1522,8,428
