Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"LeSean McCoy (BUF, RB)",315,69,3,381,0.6857142857142857,1309,273,17,0,0,0,1,0,3857,24,578,1908,12,392
"Frank Gore (IND, RB)",114,31,0,102,0.53125,1211,282,8,0,0,0,2,0,3223,14,534,1594,8,382
"Marshawn Lynch (OAK, RB)",212,41,1,221,0.6666666666666666,1204,285,12,0,0,2,3,0,4117,20,525,2110,16,466
"Matt Forte (NYJ, RB)",490,76,1,424,0.6753246753246753,997,203,3,0,0,1,2,0,3542,26,546,1692,14,443
"Adrian Peterson (ARI, RB)",139,23,1,126,0.75,973,209,12,0,0,0,1,0,3954,21,550,1625,12,389
"DeMarco Murray (TEN, RB)",183,35,0,219,0.7222222222222222,895,163,2,0,0,0,1,0,4113,22,584,1438,8,376
"LeGarrette Blount (PHI, RB)",148,25,0,150,0.5769230769230769,781,184,5,0,0,0,5,0,4276,22,553,2277,20,448
"Jonathan Stewart (CAR, RB)",413,61,1,478,0.7580645161290323,761,142,4,0,0,0,1,0,4089,21,519,2411,26,444
"Darren McFadden (DAL, RB)",154,24,1,155,0.8,614,113,4,0,0,0,1,0,4453,33,570,1807,5,408
"Darren Sproles (PHI, RB)",710,111,7,717,0.7678571428571429,604,88,2,0,0,0,0,0,4276,22,553,2277,20,448
"Mark Ingram (NO, RB)",46,13,0,40,0.7857142857142857,478,123,5,0,0,0,1,0,5564,46,665,2140,16,434
"Chris Ivory (JAC, RB)",0,1,0,0,0.0,374,79,1,0,0,0,0,0,2510,12,469,1970,9,489
"Danny Woodhead (BAL, RB)",157,31,0,119,0.5625,351,77,1,0,0,0,0,0,3629,21,544,1996,15,459
"Jacquizz Rodgers (TB, RB)",188,27,1,128,0.75,205,57,1,0,0,0,1,0,3836,17,588,1458,9,346
"Dion Lewis (NE, RB)",-3,1,0,5,0.5,102,23,1,0,0,0,1,0,5261,39,612,1764,18,438
"Jamaal Charles (DEN, RB)",9,6,1,-2,0.7142857142857143,83,12,0,0,0,0,1,0,2708,20,430,2638,11,544
"Taiwan Jones (BUF, RB)",25,3,0,31,0.5,73,16,0,0,0,0,0,0,3857,24,578,1908,12,392
"Shane Vereen (NYG, RB)",0,0,0,0,0.0,57,15,1,0,0,0,0,0,4910,29,588,1427,17,411
"Bilal Powell (NYJ, RB)",7,1,0,2,0.5,21,13,0,0,0,0,1,0,3542,26,546,1692,14,443
"Cedric Peerman (CIN, RB)",0,1,0,0,0.0,15,3,0,0,0,0,0,0,3507,21,535,1778,10,455
