Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Ezekiel Elliott (DAL, RB)",363,40,1,380,0.7804878048780488,1631,322,15,0,0,0,5,0,3799,25,483,2396,24,499
"Jordan Howard (CHI, RB)",298,50,1,284,0.5686274509803921,1313,252,6,0,0,0,2,0,4139,19,559,1730,10,381
"DeMarco Murray (TEN, RB)",377,67,3,320,0.7794117647058824,1287,293,9,10,1,2,2,0,3720,29,504,2195,16,475
"Jay Ajayi (PHI, RB)",151,35,0,132,0.75,1272,261,8,0,0,0,4,0,3798,16,609,1813,16,438
"Le'Veon Bell (PIT, RB)",616,94,2,665,0.7894736842105263,1268,261,7,0,0,1,4,0,4377,33,596,1760,13,409
"LeSean McCoy (BUF, RB)",356,58,1,398,0.864406779661017,1267,234,13,0,0,0,3,0,3250,17,475,2629,29,492
"David Johnson (ARI, RB)",879,120,4,661,0.6611570247933884,1239,293,16,0,0,0,5,0,4429,28,647,1728,20,398
"LeGarrette Blount (PHI, RB)",38,8,0,43,0.7777777777777778,1161,299,18,0,0,0,2,0,3798,16,609,1813,16,438
"Devonta Freeman (ATL, RB)",462,65,2,416,0.8181818181818182,1079,227,11,0,0,0,1,0,4960,38,537,1928,20,421
"Lamar Miller (HOU, RB)",188,39,1,174,0.775,1073,268,5,0,0,0,2,0,3418,15,583,1861,9,457
"Mark Ingram (NO, RB)",319,58,4,324,0.7796610169491526,1044,205,6,0,0,0,2,0,5257,38,674,1743,17,404
"Frank Gore (IND, RB)",277,47,4,286,0.7916666666666666,1026,263,4,0,0,0,2,0,4491,32,584,1629,13,409
"Melvin Gordon (SD, RB)",419,57,2,411,0.7068965517241379,997,254,10,0,0,0,2,0,4390,33,580,1510,10,398
"Carlos Hyde (SF, RB)",163,33,3,145,0.7941176470588235,988,217,6,0,0,0,5,0,3166,21,492,2019,15,458
"Isaiah Crowell (CLE, RB)",319,53,0,325,0.7407407407407407,944,197,7,0,0,0,2,0,3693,15,567,1712,13,350
