Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Antonio Brown (PIT, WR)",835,94,3,289,0.6,0,0,0,0,0,0,2,0,2106,10,276,871,5,237
"Adam Thielen (MIN, WR)",628,75,1,160,0.631578947368421,11,1,0,0,0,0,3,0,1990,10,276,960,7,240
"DeAndre Hopkins (HOU, WR)",606,76,7,170,0.5844155844155844,0,0,0,0,0,0,0,0,1761,19,217,968,4,222
"A.J. Green (CIN, WR)",572,65,4,169,0.5757575757575758,0,0,0,0,0,0,1,0,1603,11,218,549,1,171
"Brandin Cooks (NE, WR)",563,54,3,104,0.6,10,3,0,0,0,0,0,0,2516,16,308,870,6,220
"Tyreek Hill (KC, WR)",553,55,3,221,0.6785714285714286,22,9,0,0,0,1,2,1,2181,16,260,982,6,202
"Keenan Allen (SD, WR)",548,73,1,201,0.5405405405405406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Julio Jones (ATL, WR)",540,56,1,196,0.6491228070175439,0,0,0,0,0,0,0,0,1844,9,232,865,6,180
"T.Y. Hilton (IND, WR)",527,56,1,142,0.5087719298245614,0,0,0,0,0,0,1,0,1770,5,258,796,8,217
"Mike Evans (TB, WR)",519,68,4,79,0.5652173913043478,0,0,0,0,0,0,1,0,2143,13,279,566,3,154
"Pierre Garcon (SF, WR)",500,66,0,190,0.5970149253731343,0,0,0,0,0,0,0,0,1892,6,315,766,6,182
"Larry Fitzgerald (ARI, WR)",494,65,3,211,0.6818181818181818,0,0,0,0,0,0,1,0,2031,9,280,444,3,147
"Robby Anderson (NYJ, WR)",483,57,4,160,0.5344827586206896,1,1,0,0,0,0,0,0,2011,13,276,960,8,233
"Michael Thomas (NO, WR)",480,62,2,140,0.6666666666666666,0,0,0,0,0,0,0,0,1951,11,249,831,7,196
"Kelvin Benjamin (BUF, WR)",475,51,2,101,0.6153846153846154,0,0,0,0,0,0,0,0,1628,10,236,935,6,250
"Demaryius Thomas (DEN, WR)",455,59,0,122,0.5833333333333334,0,0,0,0,0,0,1,0,1687,9,251,863,4,196
"Golden Tate (DET, WR)",449,55,2,239,0.7678571428571429,9,3,0,0,0,0,1,0,1851,12,270,575,2,165
"Chris Hogan (NE, WR)",438,54,5,171,0.6,17,3,0,0,0,0,0,0,2516,16,308,870,6,220
"Doug Baldwin (SEA, WR)",430,61,2,116,0.6774193548387096,-3,1,0,0,0,0,0,0,2008,15,259,683,2,187
"JuJu Smith-Schuster (PIT, WR)",424,36,4,218,0.6486486486486487,0,0,0,0,0,0,0,0,2106,10,276,871,5,237
