Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Julio Jones (ATL, WR)",1871,203,8,641,0.6666666666666666,0,0,0,0,0,0,3,0,4602,21,621,1611,13,420
"Antonio Brown (PIT, WR)",1834,193,10,587,0.7010309278350515,28,3,0,0,0,0,3,0,4817,26,590,1724,16,388
"DeAndre Hopkins (HOU, WR)",1521,191,11,231,0.578125,0,0,0,0,0,0,1,0,4079,29,619,1731,7,472
"Brandon Marshall (NYG, WR)",1502,173,14,442,0.6264367816091954,0,0,0,0,0,0,3,0,4515,36,622,1609,5,404
"Odell Beckham (NYG, WR)",1449,158,13,589,0.6037735849056604,3,1,0,0,0,0,2,0,4515,36,622,1609,5,404
"Allen Robinson (JAC, WR)",1400,151,14,356,0.5263157894736842,0,0,0,0,0,0,0,0,4428,35,607,1460,5,354
"Demaryius Thomas (DEN, WR)",1304,177,6,463,0.5898876404494382,0,0,0,0,0,0,2,0,4216,19,606,1718,13,411
"A.J. Green (CIN, WR)",1297,132,10,336,0.6466165413533834,0,0,0,0,0,0,1,0,4104,31,505,1804,18,468
"Larry Fitzgerald (ARI, WR)",1215,146,9,462,0.7414965986394558,0,0,0,0,0,0,3,0,4775,35,564,1917,16,452
"Mike Evans (TB, WR)",1208,148,3,234,0.4966442953020134,0,0,0,0,0,0,1,0,4044,22,535,2159,12,454
"Jarvis Landry (MIA, WR)",1159,167,4,538,0.6607142857142857,111,17,1,9,0,1,1,0,4233,24,589,1494,11,343
"Brandin Cooks (NE, WR)",1140,129,9,446,0.6461538461538462,18,8,0,0,0,0,1,0,4812,36,629,1404,14,383
"Emmanuel Sanders (DEN, WR)",1135,136,6,387,0.5547445255474452,29,3,0,0,0,0,2,0,4216,19,606,1718,13,411
"T.Y. Hilton (IND, WR)",1124,134,5,381,0.5111111111111111,0,0,0,0,0,0,1,0,3928,26,619,1438,6,396
"Jeremy Maclin (BAL, WR)",1088,124,8,354,0.696,11,4,0,0,0,0,2,0,4462,21,677,1478,8,383
"Amari Cooper (OAK, WR)",1070,130,6,373,0.549618320610687,-3,3,0,0,0,0,1,0,4129,34,605,1455,7,370
"Doug Baldwin (SEA, WR)",1069,103,14,442,0.75,0,0,0,0,0,0,1,0,4052,34,488,2269,10,501
"Sammy Watkins (LA, WR)",1047,96,9,179,0.6185567010309279,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Allen Hurns (JAC, WR)",1030,105,10,369,0.6037735849056604,0,0,0,0,0,0,2,0,4428,35,607,1460,5,354
"Eric Decker (TEN, WR)",1027,132,12,214,0.6015037593984962,0,0,0,0,0,0,1,0,3897,25,553,1485,10,371
"John Brown (ARI, WR)",1003,101,7,324,0.6372549019607843,22,3,0,0,0,0,1,0,4775,35,564,1917,16,452
"Jordan Matthews (BUF, WR)",997,128,8,414,0.6589147286821705,0,0,0,0,0,0,2,0,3600,23,465,2432,19,509
"Willie Snead (NO, WR)",990,102,3,344,0.6796116504854369,0,0,0,0,0,0,3,0,5213,32,667,1489,16,396
"Travis Benjamin (SD, WR)",966,125,5,354,0.5396825396825397,12,4,0,0,0,0,3,0,4856,30,668,1357,4,392
"Kamar Aiken (IND, WR)",944,127,5,211,0.5859375,0,0,0,0,0,0,1,0,3928,26,619,1438,6,396
