Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"T.Y. Hilton (IND, WR)",1448,155,6,342,0.5833333333333334,0,0,0,0,0,0,0,0,4491,32,584,1629,13,409
"Julio Jones (ATL, WR)",1409,129,6,396,0.6384615384615384,0,0,0,0,0,0,0,0,4960,38,537,1928,20,421
"Odell Beckham (NYG, WR)",1367,169,10,534,0.5941176470588235,9,1,0,0,0,0,3,0,4027,26,598,1412,6,398
"Mike Evans (TB, WR)",1321,171,12,179,0.5581395348837209,0,0,0,0,0,0,0,0,4165,29,579,1619,8,452
"Antonio Brown (PIT, WR)",1284,154,12,434,0.6838709677419355,9,3,0,0,0,0,0,0,4377,33,596,1760,13,409
"Jordy Nelson (GB, WR)",1257,152,14,361,0.6339869281045751,0,0,0,0,0,0,1,0,4445,40,620,1701,11,374
"Brandin Cooks (NE, WR)",1173,117,8,380,0.6610169491525424,30,6,0,0,0,0,1,0,4458,32,551,1872,19,482
"Amari Cooper (OAK, WR)",1149,131,5,430,0.6212121212121212,0,1,0,0,0,0,2,0,4133,29,595,1922,17,433
"Jarvis Landry (MIA, WR)",1138,131,4,618,0.7121212121212122,17,5,0,0,0,1,2,0,3718,27,477,1824,14,406
"Michael Thomas (NO, WR)",1137,121,9,483,0.7540983606557377,0,0,0,0,0,0,2,0,5257,38,674,1743,17,404
"Doug Baldwin (SEA, WR)",1128,125,7,472,0.746031746031746,2,3,0,15,1,1,1,0,4422,23,567,1591,13,403
"Julian Edelman (NE, WR)",1106,160,3,494,0.6086956521739131,57,12,0,0,0,0,3,0,4458,32,551,1872,19,482
"Demaryius Thomas (DEN, WR)",1083,144,5,322,0.6206896551724138,0,0,0,0,0,0,2,0,3914,20,570,1484,11,410
"Golden Tate (DET, WR)",1077,135,4,619,0.6691176470588235,4,10,0,0,0,0,2,0,4327,24,594,1310,9,350
"Tyrell Williams (SD, WR)",1059,119,7,433,0.575,0,0,0,0,0,0,0,0,4390,33,580,1510,10,398
"Pierre Garcon (SF, WR)",1041,114,3,342,0.6869565217391305,0,0,0,0,0,0,0,0,3166,21,492,2019,15,458
"Emmanuel Sanders (DEN, WR)",1032,137,5,252,0.572463768115942,4,1,0,0,0,0,1,0,3914,20,570,1484,11,410
"Larry Fitzgerald (ARI, WR)",1028,151,6,366,0.7105263157894737,1,1,0,0,0,1,2,0,4429,28,647,1728,20,398
"Mike Wallace (BAL, WR)",1017,117,4,427,0.6101694915254238,31,5,0,0,0,0,1,0,4343,20,680,1458,10,368
"Terrelle Pryor (WAS, WR)",1007,141,4,246,0.5422535211267606,21,8,1,41,0,9,1,0,4948,25,607,1700,17,379
"DeSean Jackson (TB, WR)",1005,100,4,281,0.5544554455445545,0,0,0,0,0,0,0,0,4165,29,579,1619,8,452
"Michael Crabtree (OAK, WR)",1003,145,8,252,0.6095890410958904,0,0,0,0,0,0,1,0,4133,29,595,1922,17,433
"Kenny Britt (CLE, WR)",1002,111,5,295,0.6071428571428571,0,0,0,0,0,0,2,0,3693,15,567,1712,13,350
"Davante Adams (GB, WR)",997,121,12,386,0.6147540983606558,0,0,0,0,0,0,2,0,4445,40,620,1701,11,374
"Adam Thielen (MIN, WR)",967,92,5,299,0.7419354838709677,15,2,0,0,0,0,2,0,4119,20,589,1205,9,380
"A.J. Green (CIN, WR)",964,100,4,258,0.6534653465346535,0,0,0,0,0,0,0,0,4206,18,563,1769,17,446
"DeAndre Hopkins (HOU, WR)",954,151,4,279,0.5131578947368421,0,0,0,0,0,0,0,0,3418,15,583,1861,9,457
"Rishard Matthews (TEN, WR)",945,108,9,203,0.5963302752293578,0,0,0,0,0,0,1,0,3720,29,504,2195,16,475
"Kelvin Benjamin (BUF, WR)",941,117,7,238,0.5338983050847458,0,0,0,0,0,0,1,0,3250,17,475,2629,29,492
"Marvin Jones (DET, WR)",930,103,4,221,0.5288461538461539,3,1,0,0,0,0,0,0,4327,24,594,1310,9,350
"Stefon Diggs (MIN, WR)",903,112,3,319,0.7433628318584071,10,3,0,0,0,0,0,0,4119,20,589,1205,9,380
"Willie Snead (NO, WR)",895,104,4,387,0.6857142857142857,0,0,0,50,1,1,2,0,5257,38,674,1743,17,404
"Cameron Meredith (CHI, WR)",888,97,4,309,0.673469387755102,6,1,0,2,1,1,3,0,4139,19,559,1730,10,381
"Allen Robinson (JAC, WR)",883,150,6,210,0.48344370860927155,0,0,0,0,0,0,1,0,3925,24,626,1631,8,392
"Brandon LaFell (CIN, WR)",862,107,6,340,0.5925925925925926,-2,1,0,0,0,0,0,0,4206,18,563,1769,17,446
"Quincy Enunwa (NYJ, WR)",857,105,4,352,0.5471698113207547,12,1,0,0,0,0,0,0,3644,16,551,1802,10,418
"Marqise Lee (JAC, WR)",851,105,3,338,0.5943396226415094,35,6,0,20,1,1,1,0,3925,24,626,1631,8,392
"Jamison Crowder (WAS, WR)",847,99,7,377,0.67,-2,2,0,0,0,0,2,0,4948,25,607,1700,17,379
"Cole Beasley (DAL, WR)",833,98,5,432,0.7575757575757576,7,1,0,0,0,1,0,0,3799,25,483,2396,24,499
"Alshon Jeffery (PHI, WR)",821,94,2,199,0.5473684210526316,0,0,0,0,0,0,0,0,3798,16,609,1813,16,438
"Dontrelle Inman (CHI, WR)",810,97,4,214,0.5918367346938775,0,0,0,0,0,0,0,0,4139,19,559,1730,10,381
"Jordan Matthews (BUF, WR)",804,116,3,242,0.6239316239316239,0,0,0,0,0,0,1,0,3250,17,475,2629,29,492
"Dez Bryant (DAL, WR)",796,96,8,140,0.5154639175257731,0,0,0,10,1,1,1,0,3799,25,483,2396,24,499
"Brandon Marshall (NYG, WR)",787,129,3,177,0.46153846153846156,0,0,0,0,0,0,0,0,4027,26,598,1412,6,398
