Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Mike Wallace (BAL, WR)",1257,99,10,352,0.6,39,5,0,0,0,0,1,0,3629,25,491,1831,11,487
"Larry Fitzgerald (ARI, WR)",1137,173,6,210,0.5172413793103449,0,0,0,0,0,0,0,0,3254,10,559,1388,9,321
"DeSean Jackson (TB, WR)",1056,96,6,346,0.4845360824742268,104,16,1,0,0,0,4,0,3564,26,494,2001,9,431
"Brandon Marshall (NYG, WR)",1014,146,3,226,0.5850340136054422,3,2,0,0,0,1,2,0,4002,31,541,2200,17,480
"Jeremy Maclin (BAL, WR)",964,115,10,273,0.603448275862069,36,3,0,0,0,0,1,0,3629,25,491,1831,11,487
"Pierre Garcon (SF, WR)",816,119,6,251,0.5666666666666667,6,2,0,0,0,0,1,0,3601,19,499,1657,10,401
"Kenny Britt (CLE, WR)",775,73,9,151,0.5675675675675675,0,0,0,0,0,0,1,0,3177,13,475,1647,13,414
"Michael Crabtree (OAK, WR)",741,101,6,292,0.5392156862745098,0,0,0,0,0,0,0,0,3446,18,489,2493,19,503
"Danny Amendola (NE, WR)",689,123,3,363,0.6854838709677419,81,7,0,0,0,0,3,0,4022,37,508,2011,19,455
"Jordy Nelson (GB, WR)",582,64,2,250,0.6923076923076923,0,0,0,0,0,0,3,0,4355,31,541,1606,11,421
"Dez Bryant (DAL, WR)",561,72,6,193,0.6164383561643836,0,1,0,0,0,0,2,0,4208,29,575,1789,10,427
"Brandon LaFell (CIN, WR)",468,77,1,128,0.48717948717948717,60,1,0,0,0,1,0,0,3988,26,589,1522,8,428
"Brandon Tate (BUF, WR)",432,46,3,151,0.5106382978723404,62,5,0,0,0,0,1,0,3363,24,519,1722,6,402
"Arrelious Benn (JAC, WR)",395,38,2,170,0.6410256410256411,35,6,0,0,0,0,1,0,3356,26,469,2392,14,512
"Emmanuel Sanders (DEN, WR)",376,50,2,71,0.5490196078431373,0,0,0,0,0,0,2,0,4306,25,580,1561,13,399
"Darrius Heyward-Bey (PIT, WR)",366,65,1,106,0.3939393939393939,48,4,0,0,0,0,1,0,3890,22,479,1925,15,471
"Andre Roberts (ATL, WR)",307,49,2,138,0.48,0,0,0,0,0,0,2,0,3725,28,578,1893,14,497
"Harry Douglas (TEN, WR)",294,53,1,124,0.4074074074074074,-5,2,0,0,0,0,0,0,3278,24,474,1727,13,406
"Demaryius Thomas (DEN, WR)",283,39,2,139,0.55,1,2,0,0,0,0,3,0,4306,25,580,1561,13,399
"Golden Tate (DET, WR)",227,39,0,109,0.525,4,2,0,0,0,0,1,0,4001,27,632,1613,11,404
"Antonio Brown (PIT, WR)",167,20,0,113,0.7619047619047619,0,0,0,0,0,0,1,0,3890,22,479,1925,15,471
"Ted Ginn (NO, WR)",163,35,1,38,0.3333333333333333,11,2,0,0,0,0,1,0,4636,33,660,1519,9,380
"Eric Decker (TEN, WR)",106,8,1,24,0.6666666666666666,0,0,0,0,0,0,3,0,3278,24,474,1727,13,406
"Julian Edelman (NE, WR)",86,14,0,99,0.4666666666666667,14,2,0,0,0,0,1,0,4022,37,508,2011,19,455
"Eric Weems (TEN, WR)",61,6,0,22,0.8571428571428571,0,0,0,0,0,0,0,0,3278,24,474,1727,13,406
"Matthew Slater (NE, WR)",0,1,0,0,0.0,0,0,0,0,0,0,0,0,4022,37,508,2011,19,455
