Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Drew Brees (NO, QB)",0,0,0,0,0.0,86,21,1,5535,46,660,1,14,5564,46,665,2140,16,434
"Tom Brady (NE, QB)",0,0,0,0,0.0,109,43,3,5239,39,611,6,12,5261,39,612,1764,18,438
"Matthew Stafford (DET, QB)",0,0,0,0,0.0,78,22,0,5047,41,666,5,16,5080,41,669,1523,9,357
"Eli Manning (NYG, QB)",0,0,0,0,0.0,15,35,1,4910,29,588,8,16,4910,29,588,1427,17,411
"Aaron Rodgers (GB, QB)",0,0,0,0,0.0,257,60,3,4637,45,501,3,6,5155,51,551,1564,12,396
"Philip Rivers (SD, QB)",0,0,0,0,0.0,36,26,1,4624,27,582,9,20,4624,27,582,1866,16,435
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,89,36,2,4177,29,566,5,12,4365,29,594,1839,14,452
"Ben Roethlisberger (PIT, QB)",0,0,0,0,0.0,70,31,0,4077,21,513,8,14,4333,21,539,1903,13,434
"Cam Newton (CAR, QB)",27,1,0,32,0.5,709,125,14,4051,21,517,5,17,4089,21,519,2411,26,444
"Ryan Fitzpatrick (TB, QB)",0,0,0,0,0.0,208,56,0,3832,24,569,7,23,3836,17,588,1458,9,346
"Joe Flacco (BAL, QB)",-8,1,0,-8,0.5,90,40,1,3610,20,542,11,12,3629,21,544,1996,15,459
"Mark Sanchez (CHI, QB)",0,0,0,0,0.0,103,37,6,3474,26,542,10,18,3346,18,473,2016,10,456
"Andy Dalton (CIN, QB)",0,1,0,0,0.0,152,37,1,3398,20,516,4,13,3507,21,535,1778,10,455
"Alex Smith (KC, QB)",0,0,0,0,0.0,179,52,2,3150,17,446,7,5,3294,13,501,1887,5,486
"Carson Palmer (ARI, QB)",0,0,0,0,0.0,20,16,1,2751,13,328,2,16,3954,21,550,1625,12,389
"Colt McCoy (WAS, QB)",-5,2,0,-5,0.3333333333333333,214,60,0,2733,14,463,11,11,4055,19,591,1592,8,403
"Matt Moore (MIA, QB)",0,0,0,0,0.0,72,32,2,2504,16,347,14,9,3432,20,469,1981,11,468
"Matt Schaub (ATL, QB)",0,1,0,0,0.0,9,15,2,2479,15,292,3,6,4365,29,594,1839,14,452
"Jay Cutler (MIA, QB)",0,0,0,0,0.0,56,18,1,2319,13,314,7,7,3432,20,469,1981,11,468
"Blaine Gabbert (ARI, QB)",0,0,0,0,0.0,98,48,0,2214,12,413,14,11,3954,21,550,1625,12,389
"Sam Bradford (MIN, QB)",0,0,0,0,0.0,26,18,0,2157,6,357,9,6,3255,20,511,2318,18,448
"Matt Cassel (TEN, QB)",-4,1,0,0,0.5,99,25,0,1713,10,269,5,9,4113,22,584,1438,8,376
"Chad Henne (JAC, QB)",0,0,0,0,0.0,101,14,1,868,4,112,1,4,2510,12,469,1970,9,489
"Kellen Clemens (SD, QB)",0,1,0,0,0.0,37,6,1,546,2,91,2,1,4624,27,582,1866,16,435
