Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Drew Brees (NO, QB)",0,0,0,0,0.0,14,24,1,4878,32,627,5,10,5213,32,667,1489,16,396
"Philip Rivers (SD, QB)",0,0,0,0,0.0,28,17,0,4793,29,662,4,13,4856,30,668,1357,4,392
"Tom Brady (NE, QB)",36,1,0,29,0.5,53,34,3,4770,36,624,6,7,4812,36,629,1404,14,383
"Carson Palmer (ARI, QB)",0,0,0,0,0.0,24,25,1,4671,35,538,6,11,4775,35,564,1917,16,452
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,63,37,0,4591,21,614,12,16,4602,21,621,1611,13,420
"Eli Manning (NYG, QB)",0,0,0,0,0.0,61,20,0,4447,35,617,12,14,4515,36,622,1609,5,404
"Blake Bortles (JAC, QB)",0,0,0,0,0.0,310,52,2,4428,35,606,14,18,4428,35,607,1460,5,354
"Matthew Stafford (DET, QB)",-6,1,0,1,0.5,159,44,1,4262,32,592,4,13,4463,33,632,1336,7,354
"Ryan Tannehill (MIA, QB)",9,1,0,6,0.5,141,32,1,4210,24,587,10,12,4233,24,589,1494,11,343
"Kirk Cousins (WAS, QB)",0,0,0,0,0.0,48,26,5,4166,29,543,8,11,4294,30,555,1582,9,429
"Jameis Winston (TB, QB)",0,0,0,0,0.0,210,53,6,4044,22,535,6,15,4044,22,535,2159,12,454
"Russell Wilson (SEA, QB)",0,0,0,0,0.0,554,103,1,4022,34,483,5,8,4052,34,488,2269,10,501
"Derek Carr (OAK, QB)",0,0,0,0,0.0,138,33,0,3987,32,573,9,13,4129,34,605,1455,7,370
"Ben Roethlisberger (PIT, QB)",-8,0,0,-8,0.0,29,15,0,3933,21,469,2,16,4817,26,590,1724,16,388
"Ryan Fitzpatrick (TB, QB)",0,0,0,0,0.0,270,60,2,3905,31,562,5,15,4044,22,535,2159,12,454
"Cam Newton (CAR, QB)",0,0,0,0,0.0,636,132,10,3837,35,496,5,10,3873,35,502,2282,19,526
"Aaron Rodgers (GB, QB)",0,0,0,0,0.0,344,58,1,3821,31,572,8,8,3825,31,574,1850,8,436
"Sam Bradford (MIN, QB)",0,0,0,0,0.0,39,25,0,3725,19,532,9,14,3246,14,454,2211,18,474
"Jay Cutler (MIA, QB)",0,0,0,0,0.0,201,38,1,3659,21,483,8,11,4233,24,589,1494,11,343
"Alex Smith (KC, QB)",0,0,0,0,0.0,498,84,2,3486,20,470,4,7,3493,20,473,2041,19,437
"Andy Dalton (CIN, QB)",0,0,0,0,0.0,141,58,3,3250,25,386,5,7,4104,31,505,1804,18,468
"Teddy Bridgewater (MIN, QB)",0,0,0,0,0.0,192,44,3,3231,14,447,7,9,3246,14,454,2211,18,474
"Tyrod Taylor (BUF, QB)",4,1,0,1,0.5,568,104,4,3035,20,380,8,6,3600,23,465,2432,19,509
"Marcus Mariota (TEN, QB)",41,1,1,15,0.5,252,34,2,2818,19,371,10,10,3897,25,553,1485,10,371
