Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Matt Schaub (ATL, QB)",0,0,0,0,0.0,61,47,0,4770,29,583,3,15,3697,26,570,1876,15,451
"Aaron Rodgers (GB, QB)",0,0,0,0,0.0,304,59,5,4434,30,541,11,7,4492,30,553,1873,20,439
"Tom Brady (NE, QB)",0,0,0,0,0.0,44,29,1,4398,28,565,4,13,4540,28,592,1921,19,466
"Drew Brees (NO, QB)",-4,1,0,-4,0.5,33,22,2,4388,34,514,10,11,4490,34,544,2115,21,467
"Ben Roethlisberger (PIT, QB)",0,0,0,0,0.0,79,41,2,4328,26,506,6,12,4496,28,536,1790,10,429
"Philip Rivers (SD, QB)",0,0,0,0,0.0,50,26,1,4254,28,486,6,9,4506,29,519,1423,17,427
"Eli Manning (NYG, QB)",0,0,0,0,0.0,65,17,0,4021,27,509,13,14,4246,28,542,1837,14,443
"Jay Cutler (MIA, QB)",0,0,0,0,0.0,172,41,1,3666,27,555,9,26,3396,15,545,2231,22,509
"Joe Flacco (BAL, QB)",0,0,0,0,0.0,62,34,0,3613,21,499,8,12,3637,21,510,2206,22,467
"Carson Palmer (ARI, QB)",0,0,0,0,0.0,93,39,3,3094,21,466,6,13,4205,28,596,1489,15,364
"Matt Cassel (TEN, QB)",0,1,0,0,0.0,196,50,0,2924,16,495,14,16,3104,16,476,2592,19,500
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,49,30,1,2916,22,451,5,14,3697,26,570,1876,15,451
"Chad Henne (JAC, QB)",0,0,0,0,0.0,32,16,1,2878,12,451,4,14,3599,15,519,2028,19,446
"Mark Sanchez (CHI, QB)",0,0,0,0,0.0,106,36,3,2444,12,363,10,20,3677,27,563,1491,6,374
"Alex Smith (KC, QB)",-6,1,0,0,0.5,51,24,0,2350,18,372,2,12,3183,18,538,1917,8,437
"Matthew Stafford (DET, QB)",0,0,0,0,0.0,108,21,2,2267,13,377,4,20,3471,16,585,1616,9,410
"Ryan Fitzpatrick (TB, QB)",0,0,0,0,0.0,141,31,1,1422,9,228,3,10,3136,18,525,1626,5,404
"Matt Moore (MIA, QB)",0,0,0,0,0.0,-3,12,0,1053,8,138,2,2,3396,15,545,2231,22,509
"Derek Anderson (CAR, QB)",0,0,0,0,0.0,8,10,2,888,3,182,5,10,3070,16,465,2498,18,525
"Drew Stanton (ARI, QB)",0,0,0,0,0.0,33,9,1,259,0,51,1,6,4205,28,596,1489,15,364
"Brian Hoyer (NE, QB)",0,0,0,0,0.0,25,10,1,142,0,27,0,0,4540,28,592,1921,19,466
"Kellen Clemens (SD, QB)",0,0,0,0,0.0,1,12,0,125,0,26,2,0,4506,29,519,1423,17,427
"Josh McCown (NYJ, QB)",0,0,0,0,0.0,0,0,0,2,0,6,0,0,2596,12,392,2756,21,608
