Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Tom Brady (NE, QB)",0,0,0,0,0.0,28,15,0,2516,16,308,5,2,2516,16,308,870,6,220
"Alex Smith (KC, QB)",0,0,0,0,0.0,154,33,1,2181,16,259,2,0,2181,16,260,982,6,202
"Carson Wentz (PHI, QB)",0,0,0,0,0.0,203,42,0,2063,19,264,7,5,2063,19,264,1034,4,246
"Ben Roethlisberger (PIT, QB)",0,0,0,0,0.0,-11,16,0,2062,10,275,1,9,2106,10,276,871,5,237
"Philip Rivers (SD, QB)",0,0,0,0,0.0,1,7,0,2028,13,286,3,6,0,0,0,0,0,0
"Russell Wilson (SEA, QB)",0,0,0,0,0.0,194,36,1,2008,15,258,5,4,2008,15,259,683,2,187
"Josh McCown (NYJ, QB)",0,0,0,0,0.0,70,26,3,1980,13,275,8,7,2011,13,276,960,8,233
"Carson Palmer (ARI, QB)",0,0,0,0,0.0,12,14,0,1969,9,266,2,7,2031,9,280,444,3,147
"Drew Brees (NO, QB)",0,0,0,0,0.0,1,14,1,1951,11,249,2,4,1951,11,249,831,7,196
"Kirk Cousins (WAS, QB)",0,0,0,0,0.0,121,23,1,1900,13,237,7,4,1900,13,237,738,4,182
"Jameis Winston (TB, QB)",0,0,0,0,0.0,43,13,0,1853,10,246,8,6,2143,13,279,566,3,154
"Matthew Stafford (DET, QB)",0,0,0,0,0.0,68,13,0,1851,12,270,6,4,1851,12,270,575,2,165
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,80,15,0,1844,9,232,4,6,1844,9,232,865,6,180
"Cam Newton (CAR, QB)",0,0,0,0,0.0,255,60,3,1841,10,263,5,11,1858,10,270,781,4,231
"Jared Goff (LA, QB)",0,0,0,0,0.0,45,13,1,1724,9,223,3,4,1764,9,225,887,8,210
"Deshaun Watson (HOU, QB)",0,0,0,0,0.0,269,36,2,1699,19,204,3,8,1761,19,217,968,4,222
"Trevor Siemian (DEN, QB)",0,0,0,0,0.0,88,22,1,1669,9,247,4,10,1687,9,251,863,4,196
"Derek Carr (OAK, QB)",0,0,0,0,0.0,22,6,0,1654,12,240,1,6,1919,13,283,704,7,166
"Jacoby Brissett (IND, QB)",0,0,0,0,0.0,135,33,3,1642,5,240,5,4,1770,5,258,796,8,217
"Tyrod Taylor (BUF, QB)",0,0,0,0,0.0,210,50,2,1628,10,236,2,2,1628,10,236,935,6,250
"Case Keenum (MIN, QB)",0,0,0,0,0.0,64,10,0,1610,7,233,0,3,1990,10,276,960,7,240
"Andy Dalton (CIN, QB)",0,0,0,0,0.0,54,20,0,1603,11,218,2,8,1603,11,218,549,1,171
"Eli Manning (NYG, QB)",0,0,0,0,0.0,21,5,1,1600,10,260,5,5,1600,10,260,583,2,149
"Dak Prescott (DAL, QB)",0,0,0,0,0.0,168,23,3,1569,14,226,1,4,1571,14,228,1054,9,215
