Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Drew Brees (NO, QB)",1,1,0,1,0.5,68,27,1,4952,33,659,7,17,4952,33,660,1818,16,406
"Andrew Luck (IND, QB)",0,0,0,0,0.0,263,64,3,4761,40,616,12,16,5062,42,661,1602,9,416
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,145,29,0,4694,28,628,4,14,4758,28,632,1498,11,372
"Ben Roethlisberger (PIT, QB)",-6,0,0,-6,0.0,24,28,0,4659,30,575,7,8,4704,31,578,1737,10,407
"Eli Manning (NYG, QB)",0,0,0,0,0.0,31,12,1,4410,30,601,7,14,4470,30,607,1602,13,448
"Aaron Rodgers (GB, QB)",0,0,0,0,0.0,269,43,2,4381,38,520,10,5,4447,38,536,1917,14,436
"Philip Rivers (SD, QB)",0,0,0,0,0.0,104,38,0,4286,31,570,8,18,4296,31,574,1370,6,399
"Matthew Stafford (DET, QB)",0,0,0,0,0.0,93,43,2,4247,22,602,8,12,4274,22,604,1422,11,396
"Tom Brady (NE, QB)",0,0,0,0,0.0,57,36,0,4109,33,583,6,9,4291,34,610,1734,13,441
"Ryan Tannehill (MIA, QB)",-4,1,0,3,0.5,317,55,1,4056,27,590,9,12,4077,27,595,1878,12,398
"Joe Flacco (BAL, QB)",0,0,0,0,0.0,70,39,2,3986,27,555,4,12,3986,27,555,2016,16,448
"Jay Cutler (MIA, QB)",0,0,0,0,0.0,198,38,2,3812,28,562,11,18,4077,27,595,1878,12,398
"Russell Wilson (SEA, QB)",17,1,0,2,0.5,849,118,6,3475,20,452,10,7,3492,20,454,2762,20,525
"Brian Hoyer (NE, QB)",0,1,0,0,0.0,33,24,0,3339,12,440,4,13,4291,34,610,1734,13,441
"Alex Smith (KC, QB)",0,0,0,0,0.0,254,50,1,3284,19,464,5,6,3447,19,493,1904,17,420
"Derek Carr (OAK, QB)",0,1,0,0,0.0,96,29,0,3271,21,599,9,12,3457,22,629,1244,4,337
"Andy Dalton (CIN, QB)",18,1,1,18,0.5,166,58,4,3178,17,451,3,16,3331,18,473,2089,19,472
"Cam Newton (CAR, QB)",0,0,0,0,0.0,539,103,5,3127,18,448,9,12,3828,23,545,2033,10,475
"Teddy Bridgewater (MIN, QB)",0,0,0,0,0.0,209,47,1,2936,14,403,3,12,3583,17,518,1805,12,411
"Blake Bortles (JAC, QB)",0,0,0,0,0.0,421,56,0,2907,11,475,7,17,3450,15,557,1635,9,361
"Geno Smith (NYG, QB)",0,1,0,0,0.0,238,59,1,2525,13,367,8,13,4470,30,607,1602,13,448
"Ryan Fitzpatrick (TB, QB)",0,0,0,0,0.0,188,49,2,2483,17,312,5,8,3644,21,532,1375,7,354
"Mark Sanchez (CHI, QB)",0,0,0,0,0.0,87,34,1,2418,14,309,7,11,4035,30,610,1448,8,354
"Josh McCown (NYJ, QB)",0,0,0,0,0.0,127,25,3,2206,11,327,10,14,3206,16,498,2279,11,507
