Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Philip Rivers (SD, QB)",0,0,0,0,0.0,52,29,0,4710,30,541,7,13,4746,30,544,1810,18,457
"Drew Brees (NO, QB)",7,1,0,16,0.5,-3,18,0,4634,33,659,9,22,4636,33,660,1519,9,380
"Matt Schaub (ATL, QB)",0,0,0,0,0.0,28,22,0,4369,24,574,9,12,3725,28,578,1893,14,497
"Eli Manning (NYG, QB)",0,0,0,0,0.0,70,32,0,4002,31,541,7,25,4002,31,541,2200,17,480
"Carson Palmer (ARI, QB)",0,0,0,0,0.0,50,32,0,3985,26,587,7,20,3254,10,559,1388,9,321
"Aaron Rodgers (GB, QB)",0,0,0,0,0.0,356,64,4,3922,28,475,4,11,4355,31,541,1606,11,421
"Tom Brady (NE, QB)",0,0,0,0,0.0,30,31,1,3900,36,493,3,4,4022,37,508,2011,19,455
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,122,46,0,3705,28,572,5,9,3725,28,578,1893,14,497
"Joe Flacco (BAL, QB)",0,0,0,0,0.0,84,43,1,3622,25,489,9,10,3629,25,491,1831,11,487
"Sam Bradford (MIN, QB)",0,0,0,0,0.0,63,27,1,3512,18,591,7,15,3330,14,505,1942,16,442
"Chad Henne (JAC, QB)",0,0,0,0,0.0,52,35,0,3298,15,494,5,18,3356,26,469,2392,14,512
"Mark Sanchez (CHI, QB)",0,0,0,0,0.0,105,30,3,3291,17,508,9,13,3372,23,464,1600,10,414
"Jay Cutler (MIA, QB)",0,0,0,0,0.0,232,51,1,3274,23,432,10,16,3752,17,555,1646,8,444
"Ben Roethlisberger (PIT, QB)",0,0,0,0,0.0,176,33,2,3200,17,389,6,5,3890,22,479,1925,15,471
"Matt Cassel (TEN, QB)",0,0,0,0,0.0,125,33,0,3116,27,450,3,7,3278,24,474,1727,13,406
"Ryan Fitzpatrick (TB, QB)",0,0,0,0,0.0,271,41,0,2992,23,441,8,15,3564,26,494,2001,9,431
"Alex Smith (KC, QB)",0,0,0,0,0.0,60,18,0,2381,14,343,4,10,3189,27,475,2627,13,556
"Derek Anderson (CAR, QB)",0,0,0,0,0.0,25,5,0,2065,7,328,6,10,2635,9,484,1846,7,428
"Colt McCoy (WAS, QB)",13,1,0,7,0.5,136,28,1,1565,6,221,1,9,4261,21,605,1461,9,351
"Matt Moore (MIA, QB)",0,0,0,0,0.0,25,5,0,857,5,143,4,10,3752,17,555,1646,8,444
"Drew Stanton (ARI, QB)",0,0,0,0,0.0,113,18,1,780,4,119,3,3,3254,10,559,1388,9,321
"Matthew Stafford (DET, QB)",0,0,0,0,0.0,11,4,1,535,6,96,2,1,4001,27,632,1613,11,404
"Joe Webb (BUF, QB)",9,0,0,0,0.0,120,18,2,480,0,89,1,3,3363,24,519,1722,6,402
"Brian Hoyer (NE, QB)",0,0,0,0,0.0,-8,10,0,122,1,15,0,1,4022,37,508,2011,19,455
