Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Drew Brees (NO, QB)",0,0,0,0,0.0,5,15,1,5177,43,670,5,19,5187,43,671,1579,10,370
"Matthew Stafford (DET, QB)",3,1,0,2,0.5,127,36,4,4965,20,727,6,17,5137,22,740,1614,17,392
"Tom Brady (NE, QB)",0,0,0,0,0.0,32,23,4,4799,34,637,2,8,4816,34,641,2173,25,522
"Matt Ryan (ATL, QB)",0,0,0,0,0.0,141,34,1,4719,32,615,3,14,4719,32,615,1372,12,377
"Andrew Luck (IND, QB)",0,0,0,0,0.0,255,62,5,4374,23,627,10,18,4374,23,628,1671,11,440
"Aaron Rodgers (GB, QB)",-1,1,0,5,0.5,259,54,2,4303,39,554,5,8,4350,40,560,1694,9,432
"Carson Palmer (ARI, QB)",0,0,0,0,0.0,36,18,1,4018,22,564,7,14,3383,11,608,1207,10,353
"Matt Schaub (ATL, QB)",-6,1,0,0,0.5,-9,21,0,4008,22,544,4,12,4719,32,615,1372,12,377
"Eli Manning (NYG, QB)",0,0,0,0,0.0,30,20,0,3948,26,536,4,15,3967,26,539,1862,18,409
"Cam Newton (CAR, QB)",6,0,0,4,0.0,741,127,8,3869,19,485,10,12,3927,19,490,2088,21,462
"Joe Flacco (BAL, QB)",0,0,0,0,0.0,22,32,3,3817,22,531,9,10,3996,22,560,1901,17,444
"Sam Bradford (MIN, QB)",0,0,0,0,0.0,128,38,1,3702,21,552,6,13,2935,18,483,2627,16,487
"Andy Dalton (CIN, QB)",0,0,0,0,0.0,120,47,4,3669,27,529,4,16,3807,28,541,1745,11,430
"Philip Rivers (SD, QB)",0,1,0,0,0.0,40,27,0,3607,26,527,15,15,3607,26,528,1461,4,411
"Ryan Fitzpatrick (TB, QB)",0,0,0,0,0.0,201,49,1,3400,24,504,8,16,4144,27,566,1833,13,417
"Brandon Weeden (TEN, QB)",-9,0,0,7,0.0,112,27,0,3385,14,517,6,17,3571,17,540,1687,10,378
"Ryan Tannehill (MIA, QB)",0,0,0,0,0.0,197,49,2,3294,12,484,8,13,3425,13,504,1784,15,439
"Ben Roethlisberger (PIT, QB)",0,0,0,0,0.0,92,26,0,3252,25,448,6,8,4001,26,573,1550,9,413
"Russell Wilson (SEA, QB)",0,0,0,0,0.0,489,94,4,3111,26,393,6,10,3227,27,405,2579,16,536
"Jay Cutler (MIA, QB)",0,0,0,0,0.0,233,40,0,3033,19,434,8,14,3425,13,504,1784,15,439
"Mark Sanchez (CHI, QB)",0,0,0,0,0.0,28,22,0,2844,13,452,14,18,3298,21,485,1970,11,469
"Chad Henne (JAC, QB)",0,0,0,0,0.0,64,19,1,2092,11,306,4,11,3754,20,584,1369,5,358
"Matt Cassel (TEN, QB)",0,0,0,0,0.0,145,27,1,1796,6,277,8,12,3571,17,540,1687,10,378
"Alex Smith (KC, QB)",0,0,0,0,0.0,132,30,0,1737,13,218,3,5,2937,8,477,2399,9,500
