Home Team,Away Team,Home Spread,O/U,Day,Date,Time
Seattle,Arizona ,-6.166666666666667,40.416666666666664, Thu, Nov 9, 8:25 
New Orleans,Buffalo ,-2.8333333333333335,47.25, Sun, Nov 12, 1:00 
Green Bay,Bears ,5.583333333333333,37.583333333333336, Sun, Nov 12, 1:00 
Cleveland,Detroit ,11.0,43.75, Sun, Nov 12, 1:00 
Pittsburgh,Indianapolis ,-9.916666666666666,44.75, Sun, Nov 12, 1:00 
LA Chargers,Jacksonville ,3.9166666666666665,40.833333333333336, Sun, Nov 12, 1:00 
NY Jets,Tampa Bay ,-2.1666666666666665,43.333333333333336, Sun, Nov 12, 1:00 
Cincinnati,Tennessee ,4.5,40.5, Sun, Nov 12, 1:00 
Minnesota,Washington ,-1.4166666666666667,41.583333333333336, Sun, Nov 12, 1:00 
Houston,LA Rams ,11.666666666666666,46.083333333333336, Sun, Nov 12, 4:05 
Dallas,Atlanta ,3.3333333333333335,49.0, Sun, Nov 12, 4:25 
NY Giants,San Francisco ,-2.5,41.916666666666664, Sun, Nov 12, 4:25 
New England,Denver ,-7.25,45.166666666666664, Sun, Nov 12, 8:30 
Miami,Carolina ,9.083333333333334,39.0, Mon, Nov 13, 8:30 
