Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,4022,37,508,2011,19,455
NYJ,3420,20,526,2374,14,534
MIA,3752,17,555,1646,8,444
BUF,3363,24,519,1722,6,402
PIT,3890,22,479,1925,15,471
BAL,3629,25,491,1831,11,487
CLE,3177,13,475,1647,13,414
CIN,3988,26,589,1522,8,428
HOU,4369,24,574,2042,20,423
IND,4700,33,680,1483,13,393
JAC,3356,26,469,2392,14,512
TEN,3278,24,474,1727,13,406
DEN,4306,25,580,1561,13,399
KC,3189,27,475,2627,13,556
SD,4746,30,544,1810,18,457
OAK,3446,18,489,2493,19,503
DAL,4208,29,575,1789,10,427
WAS,4261,21,605,1461,9,351
NYG,4002,31,541,2200,17,480
PHI,4215,28,561,2328,18,427
MIN,3330,14,505,1942,16,442
GB,4355,31,541,1606,11,421
DET,4001,27,632,1613,11,404
CHI,3372,23,464,1600,10,414
NO,4636,33,660,1519,9,380
TB,3564,26,494,2001,9,431
ATL,3725,28,578,1893,14,497
CAR,2635,9,484,1846,7,428
SF,3601,19,499,1657,10,401
SEA,3529,14,543,1424,13,385
ARI,3254,10,559,1388,9,321
STL,3512,18,591,1576,9,430
