Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,4540,28,592,1921,19,466
NYJ,2596,12,392,2756,21,608
MIA,3396,15,545,2231,22,509
BUF,2789,17,442,1867,6,425
PIT,4496,28,536,1790,10,429
BAL,3637,21,510,2206,22,467
CLE,2255,11,443,2087,10,498
CIN,3134,21,477,2056,9,505
HOU,4803,29,593,1475,13,424
IND,4605,34,601,1294,16,366
JAC,3599,15,519,2028,19,446
TEN,3104,16,476,2592,19,500
DEN,3825,21,558,1836,9,440
KC,3183,18,538,1917,8,437
SD,4506,29,519,1423,17,427
OAK,2875,10,485,1701,7,410
DAL,4483,26,550,2103,14,436
WAS,3791,21,532,1504,8,390
NYG,4246,28,542,1837,14,443
PHI,4380,27,553,1644,14,382
MIN,4403,34,554,1918,19,467
GB,4492,30,553,1873,20,439
DET,3471,16,585,1616,9,410
CHI,3677,27,563,1491,6,374
NO,4490,34,544,2115,21,467
TB,3136,18,525,1626,5,404
ATL,3697,26,570,1876,15,451
CAR,3070,16,465,2498,18,525
SF,3293,23,528,1600,12,371
SEA,3771,20,609,1566,7,395
ARI,4205,28,596,1489,15,364
STL,2962,12,542,1792,4,412
