Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,4137,25,2145,11
NYJ,4189,26,1412,9
MIA,3910,17,1987,14
BUF,3666,28,2063,10
PIT,3710,20,1783,18
BAL,3938,25,1687,7
CLE,3723,29,1813,13
CIN,3623,22,1544,6
HOU,3310,29,1958,11
IND,3959,21,2002,14
JAC,4190,29,2104,20
TEN,3839,15,1796,21
DEN,4370,29,1616,15
KC,4271,25,1923,9
LAC,0,0,0,0
OAK,4376,33,1725,15
DAL,4835,33,2057,17
WAS,4134,29,1773,23
NYG,3803,21,1745,12
PHI,4904,25,1672,12
MIN,4870,37,1774,14
GB,4194,30,2000,16
DET,4197,24,1596,10
CHI,3919,25,2585,22
NO,3441,20,1786,11
TB,4056,30,1748,10
ATL,4128,31,2173,14
CAR,3853,17,1391,4
SF,3833,19,1518,11
SEA,3050,16,1616,4
ARI,4042,29,1353,5
LA,0,0,0,0
