Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,5261,39,612,1764,18,438
NYJ,3542,26,546,1692,14,443
MIA,3432,20,469,1981,11,468
BUF,3857,24,578,1908,12,392
PIT,4333,21,539,1903,13,434
BAL,3629,21,544,1996,15,459
CLE,3300,16,570,1533,4,414
CIN,3507,21,535,1778,10,455
HOU,3696,20,467,2448,18,546
IND,3223,14,534,1594,8,382
JAC,2510,12,469,1970,9,489
TEN,4113,22,584,1438,8,376
DEN,2708,20,430,2638,11,544
KC,3294,13,501,1887,5,486
SD,4624,27,582,1866,16,435
OAK,4117,20,525,2110,16,466
DAL,4453,33,570,1807,5,408
WAS,4055,19,591,1592,8,403
NYG,4910,29,588,1427,17,411
PHI,4276,22,553,2277,20,448
MIN,3255,20,511,2318,18,448
GB,5155,51,551,1564,12,396
DET,5080,41,669,1523,9,357
CHI,3346,18,473,2016,10,456
NO,5564,46,665,2140,16,434
TB,3836,17,588,1458,9,346
ATL,4365,29,594,1839,14,452
CAR,4089,21,519,2411,26,444
SF,3199,18,452,2014,14,496
SEA,3444,15,509,1755,15,446
ARI,3954,21,550,1625,12,389
STL,3251,9,550,1674,7,410
