Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,2516,16,308,870,6,220
NYJ,2011,13,276,960,8,233
MIA,1359,9,248,535,0,169
BUF,1628,10,236,935,6,250
PIT,2106,10,276,871,5,237
BAL,1346,8,255,1015,4,239
CLE,1782,7,307,761,6,187
CIN,1603,11,218,549,1,171
HOU,1761,19,217,968,4,222
IND,1770,5,258,796,8,217
JAC,1398,9,199,1213,8,239
TEN,1463,5,218,872,9,197
DEN,1687,9,251,863,4,196
KC,2181,16,260,982,6,202
LAC,0,0,0,0,0,0
OAK,1919,13,283,704,7,166
DAL,1571,14,228,1054,9,215
WAS,1900,13,237,738,4,182
NYG,1600,10,260,583,2,149
PHI,2063,19,264,1034,4,246
MIN,1990,10,276,960,7,240
GB,1629,14,252,707,6,156
DET,1851,12,270,575,2,165
CHI,1404,8,222,1039,5,243
NO,1951,11,249,831,7,196
TB,2143,13,279,566,3,154
ATL,1844,9,232,865,6,180
CAR,1858,10,270,781,4,231
SF,1892,6,315,766,6,182
SEA,2008,15,259,683,2,187
ARI,2031,9,280,444,3,147
LA,1764,9,225,887,8,210
