Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,4345,25,1731,10
NYJ,3454,24,1493,11
MIA,3573,22,1601,8
BUF,3253,28,2714,18
PIT,3744,15,1005,5
BAL,3781,22,1503,5
CLE,3709,26,2071,7
CIN,3648,21,1843,15
HOU,4499,33,1751,16
IND,3627,22,2032,14
JAC,4182,28,1945,19
TEN,4305,23,1867,7
DEN,3932,26,2473,26
KC,3777,23,1764,11
LAC,0,0,0,0
OAK,3316,29,2136,14
DAL,4151,33,1737,11
WAS,4363,23,2041,15
NYG,3666,24,1623,11
PHI,3761,31,1764,12
MIN,3544,25,1635,10
GB,3417,16,1823,6
DET,3789,23,2001,18
CHI,3820,14,1441,14
NO,3347,13,1797,13
TB,3359,23,2107,12
ATL,3819,23,1694,9
CAR,3617,19,1981,20
SF,3940,25,1547,9
SEA,4240,31,1903,13
ARI,3881,22,2323,19
LA,0,0,0,0
