Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,4812,36,629,1404,14,383
NYJ,4170,33,604,1868,11,448
MIA,4233,24,589,1494,11,343
BUF,3600,23,465,2432,19,509
PIT,4817,26,590,1724,16,388
BAL,4462,21,677,1478,8,383
CLE,4156,20,609,1529,5,381
CIN,4104,31,505,1804,18,468
HOU,4079,29,619,1731,7,472
IND,3928,26,619,1438,6,396
JAC,4428,35,607,1460,5,354
TEN,3897,25,553,1485,10,371
DEN,4216,19,606,1718,13,411
KC,3493,20,473,2041,19,437
SD,4856,30,668,1357,4,392
OAK,4129,34,605,1455,7,370
DAL,3677,16,529,1888,8,408
WAS,4294,30,555,1582,9,429
NYG,4515,36,622,1609,5,404
PHI,4341,23,623,1740,15,444
MIN,3246,14,454,2211,18,474
GB,3825,31,574,1850,8,436
DET,4463,33,632,1336,7,354
CHI,3843,21,523,1851,13,469
NO,5213,32,667,1489,16,396
TB,4044,22,535,2159,12,454
ATL,4602,21,621,1611,13,420
CAR,3873,35,502,2282,19,526
SF,3646,16,526,1544,7,391
SEA,4052,34,488,2269,10,501
ARI,4775,35,564,1917,16,452
STL,2931,11,473,1958,16,429
