Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,4291,34,610,1734,13,441
NYJ,3206,16,498,2279,11,507
MIA,4077,27,595,1878,12,398
BUF,3856,23,580,1482,7,402
PIT,4704,31,578,1737,10,407
BAL,3986,27,555,2016,16,448
CLE,3691,12,505,1708,17,476
CIN,3331,18,473,2089,19,472
HOU,3465,22,486,2165,12,550
IND,5062,42,661,1602,9,416
JAC,3450,15,557,1635,9,361
TEN,3698,19,512,1447,6,356
DEN,4779,40,607,1785,15,444
KC,3447,19,493,1904,17,420
SD,4296,31,574,1370,6,399
OAK,3457,22,629,1244,4,337
DAL,4008,37,476,2349,16,508
WAS,4461,18,547,1688,15,401
NYG,4470,30,607,1602,13,448
PHI,4581,27,623,1939,16,476
MIN,3583,17,518,1805,12,411
GB,4447,38,536,1917,14,436
DET,4274,22,604,1422,11,396
CHI,4035,30,610,1448,8,354
NO,4952,33,660,1818,16,406
TB,3644,21,532,1375,7,354
ATL,4758,28,632,1498,11,372
CAR,3828,23,545,2033,10,475
SF,3407,20,488,2175,10,472
SEA,3492,20,454,2762,20,525
ARI,3990,21,568,1318,6,398
STL,3692,20,516,1631,11,395
