Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,4210,24,1578,8
NYJ,4041,25,1335,4
MIA,4225,31,2019,13
BUF,4099,30,1728,10
PIT,4661,29,1459,6
BAL,3952,30,1661,10
CLE,4173,34,2055,11
CIN,4277,18,1477,8
HOU,3677,24,1596,10
IND,4365,29,1952,14
JAC,4528,29,1709,15
TEN,3951,34,1795,11
DEN,3544,19,1334,10
KC,3988,25,1571,7
LAC,0,0,0,0
OAK,4351,25,1678,12
DAL,3865,19,1931,16
WAS,4391,30,1962,10
NYG,4928,31,1939,15
PHI,4527,36,2153,10
MIN,4042,24,1748,7
GB,3898,20,1905,13
DET,4066,27,1802,18
CHI,3830,31,1934,9
NO,4755,45,2092,12
TB,4072,31,1606,12
ATL,3999,19,1667,20
CAR,4045,21,1415,11
SF,4375,21,2020,20
SEA,3619,14,1306,10
ARI,3957,24,1461,9
LA,0,0,0,0
