Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,4519,27,1633,10
NYJ,3178,20,2136,17
MIA,4216,18,1729,10
BUF,3675,25,2333,23
PIT,3159,19,1450,9
BAL,3906,15,1958,15
CLE,4156,27,1898,14
CIN,3763,16,1727,13
HOU,3881,29,1567,5
IND,3985,23,2192,14
JAC,3960,21,2243,19
TEN,4205,31,2036,16
DEN,3559,25,1458,5
KC,3694,29,2171,11
LAC,0,0,0,0
OAK,3962,28,1895,18
DAL,3902,22,1996,17
WAS,4720,31,1532,11
NYG,4299,26,2066,9
PHI,3655,32,2034,12
MIN,4192,28,1691,10
GB,3801,24,1896,12
DET,3799,26,1964,14
CHI,3704,19,1631,6
NO,4875,31,2357,18
TB,4951,30,1327,13
ATL,4060,14,1971,16
CAR,3852,22,1761,11
SF,3473,19,1507,7
SEA,3497,15,1649,8
ARI,3441,20,2195,12
LA,0,0,0,0
