Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,3584,25,1768,6
NYJ,2704,8,1578,11
MIA,3996,23,1836,16
BUF,3137,14,2512,19
PIT,3761,22,1437,7
BAL,3506,17,1492,8
CLE,4149,22,2318,15
CIN,3486,18,1573,12
HOU,3674,19,1710,17
IND,3631,19,2024,10
JAC,3853,28,1859,12
TEN,4355,31,1719,16
DEN,3222,18,2059,11
KC,3838,25,2500,18
LAC,0,0,0,0
OAK,3531,16,2488,24
DAL,3874,19,1449,7
WAS,3557,19,1799,10
NYG,3662,31,1763,21
PHI,3778,27,1675,11
MIN,3812,26,1393,5
GB,3450,29,1333,5
DET,4404,36,2020,17
CHI,3654,29,2010,14
NO,3961,15,1961,19
TB,3484,28,2531,16
ATL,4043,25,1709,10
CAR,3249,14,1997,15
SF,3963,14,1552,12
SEA,4112,27,1776,17
ARI,3998,22,1804,13
LA,0,0,0,0
