Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,4119,24,1669,6
NYJ,4073,31,1489,10
MIA,3768,27,1937,13
BUF,3590,16,1714,10
PIT,4031,28,1539,9
BAL,4341,22,1408,8
CLE,3783,22,2262,13
CIN,3741,16,1843,16
HOU,4141,28,1674,6
IND,3936,27,1808,14
JAC,4174,24,2040,15
TEN,3996,28,2141,17
DEN,3859,29,1276,9
KC,3505,22,2036,4
LAC,0,0,0,0
OAK,3966,29,1911,17
DAL,4187,22,1647,18
WAS,4236,35,1717,11
NYG,4163,25,2156,15
PHI,4555,29,1770,14
MIN,3789,26,1949,10
GB,3887,26,1918,11
DET,4009,23,1109,8
CHI,4458,34,1804,12
NO,4207,26,2125,17
TB,4294,28,1811,15
ATL,4618,20,1901,21
CAR,3913,25,1792,14
SF,3748,30,1614,6
SEA,3201,17,1305,8
ARI,4396,22,1739,9
LA,0,0,0,0
