Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,4035,21,1417,6
NYJ,4077,30,1621,11
MIA,4102,30,2247,12
BUF,3835,19,2130,21
PIT,4141,20,1600,15
BAL,3947,28,1430,10
CLE,4173,36,2283,18
CIN,3985,22,1812,12
HOU,3424,20,1595,13
IND,4411,27,1926,12
JAC,3627,20,1705,18
TEN,4585,25,1414,10
DEN,3200,13,2085,15
KC,4120,23,1939,10
LAC,0,0,0,0
OAK,4267,27,1882,18
DAL,4376,25,1331,9
WAS,4383,22,1916,19
NYG,4260,15,1417,10
PHI,4039,25,1652,10
MIN,3637,22,1711,9
GB,4603,32,1523,11
DET,4136,33,1705,8
CHI,3828,22,1950,18
NO,4593,27,1626,19
TB,4250,24,1871,15
ATL,4495,31,1675,15
CAR,4561,27,1464,11
SF,4013,30,2653,25
SEA,3884,16,1487,16
ARI,3739,21,1518,16
LA,3928,32,1660,12
