Team,Total Pass Yards Allowed,Total Pass TDs Allowed,Total Rush Yards Allowed,Total Rush TDs Allowed
NE,2474,16,972,5
NYJ,2217,19,1089,6
MIA,1567,11,668,4
BUF,2081,7,757,8
PIT,1629,6,851,6
BAL,1587,9,1092,5
CLE,1935,16,674,5
CIN,1409,9,783,3
HOU,1760,14,676,3
IND,2419,12,930,10
JAC,1334,4,970,5
TEN,1680,13,701,3
DEN,1405,12,510,0
KC,2185,14,1049,7
LAC,0,0,0,0
OAK,1963,11,963,6
DAL,1750,12,741,4
WAS,1660,10,731,6
NYG,1884,14,845,2
PHI,2204,13,563,4
MIN,1777,9,651,3
GB,1661,9,880,7
DET,1879,10,641,6
CHI,1805,8,831,7
NO,1702,9,842,5
TB,1966,12,782,7
ATL,1659,11,715,2
CAR,1613,10,653,3
SF,2099,14,1054,9
SEA,1616,9,824,5
ARI,1815,14,739,6
LA,1565,8,862,8
