Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,4458,32,551,1872,19,482
NYJ,3644,16,551,1802,10,418
MIA,3718,27,477,1824,14,406
BUF,3250,17,475,2629,29,492
PIT,4377,33,596,1760,13,409
BAL,4343,20,680,1458,10,368
CLE,3693,15,567,1712,13,350
CIN,4206,18,563,1769,17,446
HOU,3418,15,583,1861,9,457
IND,4491,32,584,1629,13,409
JAC,3925,24,626,1631,8,392
TEN,3720,29,504,2195,16,475
DEN,3914,20,570,1484,11,410
KC,3914,19,546,1749,15,412
SD,4390,33,580,1510,10,398
OAK,4133,29,595,1922,17,433
DAL,3799,25,483,2396,24,499
WAS,4948,25,607,1700,17,379
NYG,4027,26,598,1412,6,398
PHI,3798,16,609,1813,16,438
MIN,4119,20,589,1205,9,380
GB,4445,40,620,1701,11,374
DET,4327,24,594,1310,9,350
CHI,4139,19,559,1730,10,381
NO,5257,38,674,1743,17,404
TB,4165,29,579,1619,8,452
ATL,4960,38,537,1928,20,421
CAR,3962,21,562,1814,16,453
SF,3166,21,492,2019,15,458
SEA,4422,23,567,1591,13,403
ARI,4429,28,647,1728,20,398
LA,3313,14,536,1297,9,376
