Team,Total Pass Yards,Total Pass TDs,Total Pass Att,Total Rush Yards,Total Rush TDs,Total Rush Att
NE,4816,34,641,2173,25,522
NYJ,3139,14,492,1891,12,494
MIA,3425,13,504,1784,15,439
BUF,3430,24,511,2221,12,443
PIT,4001,26,573,1550,9,413
BAL,3996,22,560,1901,17,444
CLE,3668,16,566,1594,12,396
CIN,3807,28,541,1745,11,430
HOU,4046,22,554,2192,20,509
IND,4374,23,628,1671,11,440
JAC,3754,20,584,1369,5,358
TEN,3571,17,540,1687,10,378
DEN,4679,37,588,1812,12,480
KC,2937,8,477,2399,9,500
SD,3607,26,528,1461,4,411
OAK,4292,24,628,1420,4,376
DAL,4992,29,658,1265,8,355
WAS,3677,24,443,2713,22,516
NYG,3967,26,539,1862,18,409
PHI,4077,18,618,1887,10,413
MIN,2935,18,483,2627,16,487
GB,4350,40,560,1694,9,432
DET,5137,22,740,1614,17,392
CHI,3298,21,485,1970,11,469
NO,5187,43,671,1579,10,370
TB,4144,27,566,1833,13,417
ATL,4719,32,615,1372,12,377
CAR,3927,19,490,2088,21,462
SF,3546,23,436,2491,17,492
SEA,3227,27,405,2579,16,536
ARI,3383,11,608,1207,10,353
STL,3783,22,558,1715,5,411
