Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Jason Witten (DAL, TE)",1039,147,3,317,0.7432432432432432,0,0,0,0,0,0,0,0,4992,29,658,1265,8,355
"Jimmy Graham (SEA, TE)",982,135,9,306,0.625,0,0,0,0,0,0,1,0,3227,27,405,2579,16,536
"Greg Olsen (CAR, TE)",843,104,5,259,0.6571428571428571,0,0,0,0,0,0,0,0,3927,19,490,2088,21,462
"Rob Gronkowski (NE, TE)",790,79,11,300,0.6875,0,0,0,0,0,0,1,0,4816,34,641,2173,25,522
"Jermaine Gresham (ARI, TE)",737,94,5,405,0.6736842105263158,0,0,0,0,0,0,2,0,3383,11,608,1207,10,353
"Brent Celek (PHI, TE)",684,88,1,295,0.6404494382022472,0,0,0,0,0,0,1,0,4077,18,618,1887,10,413
"Martellus Bennett (GB, TE)",626,90,5,205,0.6043956043956044,0,0,0,0,0,0,0,0,4350,40,560,1694,9,432
"Vernon Davis (WAS, TE)",548,61,5,179,0.6612903225806451,0,0,0,0,0,0,0,0,3677,24,443,2713,22,516
"Marcedes Lewis (JAC, TE)",540,77,4,242,0.6666666666666666,0,0,0,0,0,0,0,0,3754,20,584,1369,5,358
"Antonio Gates (SD, TE)",538,80,7,130,0.6049382716049383,0,0,0,0,0,0,0,0,3607,26,528,1461,4,411
"Jared Cook (OAK, TE)",523,72,4,157,0.6027397260273972,0,0,0,0,0,0,1,0,4292,24,628,1420,4,376
"Dwayne Allen (NE, TE)",521,66,3,242,0.6716417910447762,5,3,0,0,0,0,1,0,4816,34,641,2173,25,522
"Lance Kendricks (GB, TE)",519,64,4,225,0.6461538461538462,0,0,0,0,0,0,1,0,4350,40,560,1694,9,432
"Benjamin Watson (BAL, TE)",501,82,3,220,0.5903614457831325,0,0,0,0,0,0,1,0,3996,22,560,1901,17,444
"Kyle Rudolph (MIN, TE)",493,93,9,275,0.5638297872340425,0,0,0,0,0,0,0,0,2935,18,483,2627,16,487
"Delanie Walker (TEN, TE)",339,39,3,50,0.525,0,0,0,0,0,0,1,0,3571,17,540,1687,10,378
"Anthony Fasano (MIA, TE)",332,69,5,90,0.5857142857142857,0,0,0,0,0,0,0,0,3425,13,504,1784,15,439
"Coby Fleener (NO, TE)",281,48,2,95,0.5306122448979592,0,0,0,0,0,0,0,0,5187,43,671,1579,10,370
"Ed Dickson (CAR, TE)",225,33,0,83,0.6176470588235294,0,0,0,0,0,0,0,0,3927,19,490,2088,21,462
"Charles Clay (BUF, TE)",212,33,2,81,0.5294117647058824,0,0,0,0,0,0,0,0,3430,24,511,2221,12,443
"Clay Harbor (NO, TE)",188,39,2,80,0.625,0,0,0,0,0,0,1,0,5187,43,671,1579,10,370
"Luke Stocker (TB, TE)",165,27,1,89,0.5714285714285714,0,0,0,0,0,0,0,0,4144,27,566,1833,13,417
"Niles Paul (WAS, TE)",152,15,1,56,0.5,-1,1,0,0,0,0,1,0,3677,24,443,2713,22,516
"Michael Hoomanawanui (NO, TE)",109,7,0,48,0.625,0,0,0,0,0,0,0,0,5187,43,671,1579,10,370
