Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Rob Gronkowski (NE, TE)",1124,131,12,450,0.6212121212121212,0,0,0,0,0,0,0,0,4291,34,610,1734,13,441
"Greg Olsen (CAR, TE)",1008,123,6,326,0.6774193548387096,0,0,0,0,0,0,1,0,3828,23,545,2033,10,475
"Martellus Bennett (GB, TE)",916,129,6,449,0.6923076923076923,0,0,0,0,0,0,0,0,4447,38,536,1917,14,436
"Delanie Walker (TEN, TE)",890,106,4,411,0.5887850467289719,0,0,0,0,0,0,2,0,3698,19,512,1447,6,356
"Jimmy Graham (SEA, TE)",889,125,10,295,0.6746031746031746,0,0,0,0,0,0,2,0,3492,20,454,2762,20,525
"Travis Kelce (KC, TE)",862,87,5,483,0.7613636363636364,0,0,0,0,0,0,4,0,3447,19,493,1904,17,420
"Antonio Gates (SD, TE)",821,98,12,256,0.696969696969697,0,0,0,0,0,0,1,0,4296,31,574,1370,6,399
"Coby Fleener (NO, TE)",774,92,8,295,0.5483870967741935,0,0,0,0,0,0,0,0,4952,33,660,1818,16,406
"Zach Ertz (PHI, TE)",702,88,3,234,0.651685393258427,0,0,0,0,0,0,1,0,4581,27,623,1939,16,476
"Jason Witten (DAL, TE)",691,89,5,247,0.7,0,0,0,0,0,0,0,0,4008,37,476,2349,16,508
"Jared Cook (OAK, TE)",634,98,3,269,0.5252525252525253,0,1,0,0,0,0,0,0,3457,22,629,1244,4,337
"Charles Clay (BUF, TE)",605,84,3,243,0.6823529411764706,0,0,0,0,0,0,0,0,3856,23,580,1482,7,402
"Mychal Rivera (JAC, TE)",534,100,4,172,0.5742574257425742,0,0,0,0,0,0,2,0,3450,15,557,1635,9,361
"Niles Paul (WAS, TE)",507,52,1,255,0.7358490566037735,0,0,0,0,0,0,1,0,4461,18,547,1688,15,401
"Julius Thomas (MIA, TE)",489,62,12,162,0.6825396825396826,0,0,0,0,0,0,1,0,4077,27,595,1878,12,398
"Jordan Reed (WAS, TE)",465,65,0,284,0.7575757575757576,0,0,0,0,0,0,1,0,4461,18,547,1688,15,401
"Jermaine Gresham (ARI, TE)",446,78,4,259,0.759493670886076,0,0,0,0,0,0,3,0,3990,21,568,1318,6,398
"Dwayne Allen (NE, TE)",395,50,8,172,0.5686274509803921,0,0,0,0,0,0,1,0,4291,34,610,1734,13,441
"Luke Willson (SEA, TE)",362,40,3,213,0.5365853658536586,0,0,0,0,0,0,0,0,3492,20,454,2762,20,525
"Brent Celek (PHI, TE)",340,52,1,131,0.6037735849056604,0,0,0,0,0,0,1,0,4581,27,623,1939,16,476
"Clay Harbor (NO, TE)",288,35,1,172,0.7222222222222222,0,0,0,0,0,0,0,0,4952,33,660,1818,16,406
"Dion Sims (CHI, TE)",284,36,2,103,0.6486486486486487,0,0,0,0,0,0,0,0,4035,30,610,1448,8,354
"Lance Kendricks (GB, TE)",259,38,5,104,0.6923076923076923,0,0,0,0,0,0,0,0,4447,38,536,1917,14,436
"Eric Ebron (DET, TE)",248,48,1,125,0.5102040816326531,0,0,0,0,0,0,0,0,4274,22,604,1422,11,396
