Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Jason Witten (DAL, TE)",1002,128,9,402,0.7286821705426356,0,0,0,0,0,0,1,0,4208,29,575,1789,10,427
"Vernon Davis (WAS, TE)",925,93,7,446,0.6063829787234043,0,0,0,0,0,0,0,0,4261,21,605,1461,9,351
"Antonio Gates (SD, TE)",782,65,10,311,0.7575757575757576,0,0,0,0,0,0,0,0,4746,30,544,1810,18,457
"Benjamin Watson (BAL, TE)",763,102,3,349,0.6601941747572816,-1,1,0,0,0,0,0,0,3629,25,491,1831,11,487
"Marcedes Lewis (JAC, TE)",700,88,10,268,0.651685393258427,0,0,0,0,0,0,2,0,3356,26,469,2392,14,512
"Rob Gronkowski (NE, TE)",546,59,10,183,0.7,0,0,0,0,0,0,1,0,4022,37,508,2011,19,455
"Anthony Fasano (MIA, TE)",528,60,4,198,0.639344262295082,0,0,0,0,0,0,0,0,3752,17,555,1646,8,444
"Brent Celek (PHI, TE)",511,80,4,249,0.5185185185185185,0,0,0,0,0,0,0,0,4215,28,561,2328,18,427
"Jermaine Gresham (ARI, TE)",471,83,4,344,0.6190476190476191,0,0,0,0,0,0,2,0,3254,10,559,1388,9,321
"Greg Olsen (CAR, TE)",404,69,5,159,0.5857142857142857,0,0,0,0,0,0,2,0,2635,9,484,1846,7,428
"Jared Cook (OAK, TE)",361,45,1,135,0.6304347826086957,0,0,0,0,0,0,0,0,3446,18,489,2493,19,503
"Jimmy Graham (SEA, TE)",356,44,5,138,0.6888888888888889,3,1,0,0,0,0,1,0,3529,14,543,1424,13,385
"Delanie Walker (TEN, TE)",331,45,0,173,0.6304347826086957,18,3,0,0,0,0,1,0,3278,24,474,1727,13,406
"Martellus Bennett (GB, TE)",260,48,0,191,0.673469387755102,0,0,0,0,0,0,1,0,4355,31,541,1606,11,421
"Zach Miller (CHI, TE)",216,26,1,107,0.7407407407407407,9,2,0,0,0,0,0,0,3372,23,464,1600,10,414
"Ed Dickson (CAR, TE)",152,23,1,72,0.4583333333333333,0,0,0,0,0,0,0,0,2635,9,484,1846,7,428
"Michael Hoomanawanui (NO, TE)",146,22,3,109,0.5652173913043478,0,0,0,0,0,0,0,0,4636,33,660,1519,9,380
"Clay Harbor (NO, TE)",72,15,1,23,0.5625,0,0,0,0,0,0,0,0,4636,33,660,1519,9,380
