Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rec %,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Passing Yds,Team Passing Tds,Team Passing Att,Team Rushing Yds,Team Rushing Tds,Team Rushing Att
"Travis Kelce (KC, TE)",1125,117,4,633,0.7203389830508474,-5,1,0,0,0,0,0,0,3914,19,546,1749,15,412
"Greg Olsen (CAR, TE)",1073,129,3,352,0.6153846153846154,0,0,0,0,0,0,0,0,3962,21,562,1814,16,453
"Jimmy Graham (SEA, TE)",923,95,6,325,0.6770833333333334,0,1,0,0,0,0,2,0,4422,23,567,1591,13,403
"Kyle Rudolph (MIN, TE)",840,133,7,359,0.6194029850746269,0,0,0,0,0,0,0,0,4119,20,589,1205,9,380
"Zach Ertz (PHI, TE)",816,106,4,263,0.7289719626168224,0,0,0,0,0,0,0,0,3798,16,609,1813,16,438
"Delanie Walker (TEN, TE)",800,102,7,271,0.6310679611650486,11,2,0,0,0,0,1,0,3720,29,504,2195,16,475
"Eric Ebron (DET, TE)",711,85,1,283,0.7093023255813954,1,1,1,0,0,0,0,0,4327,24,594,1310,9,350
"Martellus Bennett (GB, TE)",701,73,7,412,0.7432432432432432,10,2,0,0,0,0,0,0,4445,40,620,1701,11,374
"Jordan Reed (WAS, TE)",686,89,6,264,0.7333333333333333,0,0,0,0,0,0,1,0,4948,25,607,1700,17,379
"Jason Witten (DAL, TE)",673,95,3,273,0.71875,0,0,0,0,0,0,1,0,3799,25,483,2396,24,499
"Cameron Brate (TB, TE)",660,82,8,136,0.6867469879518072,0,0,0,0,0,0,1,0,4165,29,579,1619,8,452
"Coby Fleener (NO, TE)",631,82,3,212,0.6024096385542169,2,1,1,0,0,0,2,0,5257,38,674,1743,17,404
"Jack Doyle (IND, TE)",584,75,5,246,0.7763157894736842,0,0,0,0,0,0,1,0,4491,32,584,1629,13,409
"Vernon Davis (WAS, TE)",583,59,2,238,0.7333333333333333,0,0,0,0,0,0,0,0,4948,25,607,1700,17,379
"C.J. Fiedorowicz (HOU, TE)",559,89,4,212,0.6,0,0,0,0,0,0,1,0,3418,15,583,1861,9,457
"Charles Clay (BUF, TE)",552,87,4,192,0.6477272727272727,0,0,0,0,0,0,0,0,3250,17,475,2629,29,492
"Antonio Gates (SD, TE)",548,93,7,188,0.5638297872340425,0,0,0,0,0,0,1,0,4390,33,580,1510,10,398
"Rob Gronkowski (NE, TE)",540,38,3,255,0.6410256410256411,0,0,0,0,0,0,0,0,4458,32,551,1872,19,482
"Lance Kendricks (GB, TE)",499,87,2,276,0.5681818181818182,0,0,0,0,0,0,1,0,4445,40,620,1701,11,374
"Zach Miller (CHI, TE)",486,64,4,221,0.7230769230769231,0,0,0,0,0,0,0,0,4139,19,559,1730,10,381
"Hunter Henry (SD, TE)",482,53,8,198,0.6666666666666666,0,0,0,0,0,0,1,0,4390,33,580,1510,10,398
"Ryan Griffin (HOU, TE)",442,74,2,168,0.6666666666666666,0,0,0,0,0,0,1,0,3418,15,583,1861,9,457
"Dwayne Allen (NE, TE)",406,52,6,118,0.660377358490566,0,0,0,0,0,0,1,0,4458,32,551,1872,19,482
"Tyler Eifert (CIN, TE)",394,47,5,132,0.6041666666666666,0,0,0,0,0,0,0,0,4206,18,563,1769,17,446
